# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	2.0008205880e+02	1.4768382271e+04	3.8627928528e+03
0.2               	wall	2.0088116539e+02	1.1355986711e+04	2.2810041888e+03
0.3               	wall	1.9621584486e+02	1.0682834953e+04	2.4284494964e+03
0.4               	wall	2.1262035230e+02	8.4374179425e+03	3.0363828303e+03
0.5               	wall	2.0697574685e+02	1.0448634299e+04	2.1049146479e+03
0.6               	wall	1.8982621871e+02	1.1383077185e+04	2.2468786834e+03
0.7               	wall	2.1407192808e+02	1.1144242610e+04	3.0384792421e+03
0.8               	wall	2.0746265012e+02	8.6485348339e+03	2.4036625113e+03
0.9               	wall	1.9301577202e+02	1.2247179052e+04	2.0461552217e+03
1                 	wall	2.0806211875e+02	1.0748607005e+04	2.8108289596e+03
1.1               	wall	2.1102074664e+02	7.7435242626e+03	2.8157442428e+03
1.2               	wall	2.0070322010e+02	1.1661333575e+04	2.0346161295e+03
