# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.3118778373e+02	1.0194791291e+04	2.7661523915e+03
0.2               	wall	1.3336936875e+02	9.0396440633e+03	1.6286943008e+03
0.3               	wall	1.3141363145e+02	1.0762524447e+04	2.3105927912e+03
0.4               	wall	1.3330208891e+02	8.5011748945e+03	1.8063066366e+03
0.5               	wall	5.7396294510e+01	7.0391195038e+03	1.8805877053e+03
0.6               	wall	7.1498444493e+01	4.0824174119e+03	2.0719006437e+03
0.7               	wall	5.2149004673e+01	3.2598743572e+03	1.5922381045e+03
0.8               	wall	6.9301537880e+01	4.3059995608e+03	2.0660922815e+03
0.9               	wall	6.3051865141e+01	3.0984858232e+03	1.6494973550e+03
1                 	wall	5.9603065396e+01	3.9739361561e+03	1.7232755815e+03
1.1               	wall	6.9867652085e+01	3.5892136883e+03	1.9009232410e+03
1.2               	wall	5.9651501249e+01	2.9191399381e+03	1.5340367037e+03
