# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	6.4792790822e+01	1.0040761080e+04	2.6913087939e+03
0.2               	wall	4.1968700731e+01	9.9696931207e+03	1.6385169301e+03
0.3               	wall	4.5574326601e+01	8.8759438892e+03	2.2575051935e+03
0.4               	wall	4.4419732556e+01	8.7992166501e+03	1.8031625412e+03
0.5               	wall	6.4677290459e+01	7.9428786779e+03	1.8444733600e+03
0.6               	wall	3.8024078184e+01	3.6643907840e+03	2.0070584213e+03
0.7               	wall	2.5188464857e+01	3.1003966444e+03	1.5662704503e+03
0.8               	wall	3.3917386636e+01	3.6299213324e+03	2.0487460621e+03
0.9               	wall	1.8781738768e+01	3.1122475341e+03	1.5890872113e+03
1                 	wall	2.7393794966e+01	3.2626786928e+03	1.8184081806e+03
1.1               	wall	2.8579429368e+01	3.4148848369e+03	1.8046532511e+03
1.2               	wall	2.1481680071e+01	2.7966069576e+03	1.5654110683e+03
