# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.3415599801e+02	1.3864464045e+04	2.9879742100e+03
0.2               	wall	1.3435365705e+02	9.4510160081e+03	2.0005118253e+03
0.3               	wall	1.3312318967e+02	9.7247233120e+03	2.1237636141e+03
0.4               	wall	1.3867519598e+02	1.0490209781e+04	2.6618433950e+03
0.5               	wall	1.3446400461e+02	9.8240972723e+03	1.8644203514e+03
0.6               	wall	1.3383199066e+02	9.6898149259e+03	2.1071141794e+03
0.7               	wall	1.4048929136e+02	1.0519063287e+04	2.5874786449e+03
0.8               	wall	1.3568620208e+02	9.8045035259e+03	1.9166152482e+03
0.9               	wall	1.3333856170e+02	9.6734301790e+03	2.0291690688e+03
1                 	wall	1.4076790866e+02	1.0878603464e+04	2.5499552746e+03
1.1               	wall	1.3672039200e+02	9.6377896910e+03	1.9738959705e+03
1.2               	wall	1.3316189320e+02	1.0083779011e+04	1.9699119639e+03
