# Region type :   sampledSurface planeZ5p
# Faces           : 988
# Area            : 8.2953449955e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0022358089      	6.9000000008e+06
0.01857532        	6.9004340530e+06
0.027079241       	6.9097964472e+06
0.0370078         	6.9484646621e+06
0.047997204       	6.9448153679e+06
0.059623326       	6.9135524404e+06
0.07044265        	6.9017509342e+06
0.078186106       	6.8998608537e+06
0.084765198       	6.8987601764e+06
0.091583897       	6.9003628171e+06
0.099225116       	6.9016745732e+06
0.10951491        	6.8919291983e+06
0.12120074        	6.8657265996e+06
0.13421633        	6.8629751552e+06
0.1467828         	6.8845811958e+06
0.16348979        	6.8979068812e+06
0.18158157        	6.8996952993e+06
0.19849924        	6.9128816226e+06
0.21227964        	6.9320174713e+06
0.22605326        	6.9280986371e+06
0.23810772        	6.9138626661e+06
0.24807146        	6.9055278123e+06
0.25713821        	6.9019623078e+06
0.26634299        	6.9002438349e+06
0.27637914        	6.8954992577e+06
0.28732223        	6.8837338801e+06
0.29884748        	6.8727790251e+06
0.31253609        	6.8749545309e+06
0.33035886        	6.8901476779e+06
0.34949782        	6.8991481766e+06
0.36950251        	6.9091713817e+06
0.38657841        	6.9231012590e+06
0.40065359        	6.9237262553e+06
0.41330856        	6.9149497743e+06
0.42492783        	6.9062186734e+06
0.43556792        	6.9011876322e+06
0.44595548        	6.8970911567e+06
0.45683597        	6.8903615188e+06
0.46886943        	6.8816653989e+06
0.4822215         	6.8778039986e+06
0.4974799         	6.8841668895e+06
0.51475808        	6.8947495406e+06
0.53214673        	6.9026502753e+06
0.54579047        	6.9104775322e+06
0.55619531        	6.9171502495e+06
0.56484095        	6.9206694455e+06
0.57242479        	6.9206654918e+06
0.5793563         	6.9181861211e+06
0.58581323        	6.9144420304e+06
0.5918356         	6.9104774915e+06
0.59752152        	6.9070223087e+06
0.60298824        	6.9041269500e+06
0.60835886        	6.9015993369e+06
0.61376408        	6.8990789378e+06
0.61931972        	6.8961298743e+06
0.6251107         	6.8925437518e+06
0.63120544        	6.8884743849e+06
0.63767626        	6.8844890376e+06
0.64457357        	6.8815114327e+06
0.65197221        	6.8805295802e+06
0.66003053        	6.8822049715e+06
0.66900154        	6.8863980799e+06
0.67921515        	6.8919314069e+06
0.69066505        	6.8974394264e+06
0.70210797        	6.9031695529e+06
0.71173487        	6.9090325304e+06
0.72003273        	6.9141521487e+06
0.72741794        	6.9175081932e+06
0.73422209        	6.9187434583e+06
0.74065768        	6.9180490945e+06
0.74682448        	6.9160150265e+06
0.75274571        	6.9133216922e+06
0.7584353         	6.9105107007e+06
0.76395433        	6.9078317172e+06
0.76938569        	6.9053026284e+06
0.77481271        	6.9027603052e+06
0.78031593        	6.8999172756e+06
0.78595865        	6.8965647535e+06
0.79178533        	6.8927992344e+06
0.79787027        	6.8888917724e+06
0.80419802        	6.8855006599e+06
0.81096538        	6.8832714657e+06
0.81817838        	6.8827103489e+06
0.82599112        	6.8838921296e+06
0.83466441        	6.8866877794e+06
0.84440259        	6.8907428388e+06
0.85505367        	6.8956803684e+06
0.86569634        	6.9012167615e+06
0.87535405        	6.9069395954e+06
0.88385323        	6.9117984766e+06
0.89148307        	6.9149912335e+06
0.89858319        	6.9163286376e+06
0.90523185        	6.9160838429e+06
0.91148198        	6.9147857149e+06
0.9174681         	6.9129094095e+06
0.92324097        	6.9107095825e+06
0.92887673        	6.9083205660e+06
0.93445707        	6.9057922305e+06
0.94003519        	6.9031045523e+06
0.94565774        	6.9001831587e+06
0.95139767        	6.8969020690e+06
0.95732991        	6.8933953364e+06
0.9634871         	6.8899650825e+06
0.96990767        	6.8871583212e+06
0.97664246        	6.8854977981e+06
0.98380183        	6.8850731539e+06
0.99155731        	6.8859000394e+06
1                 	6.8879722503e+06
1.0093778         	6.8913514793e+06
1.019399          	6.8957404938e+06
1.0294638         	6.9006717945e+06
1.0388054         	6.9056681416e+06
1.047233          	6.9099293218e+06
1.054894          	6.9127439991e+06
1.0619897         	6.9139775387e+06
1.0686517         	6.9139379681e+06
1.0749723         	6.9130283208e+06
1.0810346         	6.9115420754e+06
1.0869074         	6.9096439985e+06
1.0927263         	6.9074174352e+06
1.0985453         	6.9049551337e+06
1.1042769         	6.9023667163e+06
1.1100226         	6.8995919994e+06
1.1158921         	6.8965780422e+06
1.1219516         	6.8934949360e+06
1.1282346         	6.8906243111e+06
1.1347821         	6.8884918790e+06
1.1416556         	6.8874166016e+06
1.1489615         	6.8873318981e+06
1.1568826         	6.8882029081e+06
1.1655079         	6.8901471256e+06
1.1747221         	6.8933197164e+06
1.1842609         	6.8973241844e+06
1.1937998         	6.9016183215e+06
