# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	8.2364556040e+01	1.0817182994e+04	2.8270013670e+03
0.2               	wall	5.1233963242e+01	1.0640444251e+04	1.7281979540e+03
0.3               	wall	8.8173629744e+01	1.1285665784e+04	2.1845016122e+03
0.4               	wall	4.1104668784e+01	4.8068110074e+03	1.9655078418e+03
0.5               	wall	3.2727603037e+01	2.9901042705e+03	1.6460956164e+03
0.6               	wall	4.8003471764e+01	4.0888470071e+03	2.2315572858e+03
0.7               	wall	2.6576561989e+01	3.4045109830e+03	1.5661140747e+03
0.8               	wall	3.8830844683e+01	3.6079578991e+03	1.9458493910e+03
0.9               	wall	5.1099365530e+01	4.6925710181e+03	1.9440026088e+03
1                 	wall	2.7083583944e+01	3.1092761894e+03	1.5390167007e+03
1.1               	wall	4.2041422430e+01	3.7557499035e+03	2.0390931785e+03
1.2               	wall	3.9584265540e+01	3.0878834222e+03	1.7224898569e+03
