# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.8272921224e+02	1.5587726580e+04	2.8619592265e+03
0.2               	wall	1.8595691614e+02	1.1740370136e+04	1.7174492945e+03
0.3               	wall	1.5641170502e+02	1.1160590450e+04	2.2619921369e+03
0.4               	wall	6.1294169102e+01	8.0483525535e+03	1.9933643223e+03
0.5               	wall	5.6980283738e+01	4.4205828265e+03	1.7371487156e+03
0.6               	wall	6.5073591435e+01	4.3138553295e+03	2.2687155938e+03
0.7               	wall	6.1859846287e+01	3.6577800282e+03	1.6301027090e+03
0.8               	wall	6.0934340212e+01	4.1254149774e+03	1.9583807880e+03
0.9               	wall	6.2964157279e+01	4.1675251697e+03	1.9709890631e+03
1                 	wall	5.9380140725e+01	3.8374879935e+03	1.5917449348e+03
1.1               	wall	6.2442378406e+01	3.7960595119e+03	2.0122369358e+03
1.2               	wall	6.1523438563e+01	4.1217620595e+03	1.8098744723e+03
