# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.8996802315e+02	2.0907528249e+04	4.8302145718e+03
0.2               	wall	2.2080188318e+02	1.3069508132e+04	2.6390493221e+03
0.3               	wall	2.1075643509e+02	1.3473639015e+04	2.7922670127e+03
0.4               	wall	2.3988022938e+02	1.2977380611e+04	3.4653561788e+03
0.5               	wall	2.2643160142e+02	1.2476181475e+04	2.6802489285e+03
0.6               	wall	2.0418248914e+02	1.8031609277e+04	2.3220820237e+03
0.7               	wall	2.1708074135e+02	1.2834573804e+04	2.9652143060e+03
0.8               	wall	2.3985532917e+02	1.1676256582e+04	3.3931940475e+03
0.9               	wall	2.2542839241e+02	1.2376291749e+04	2.6706847295e+03
1                 	wall	2.0659749331e+02	1.7589882313e+04	2.3144563327e+03
1.1               	wall	2.1572219468e+02	1.2963683620e+04	2.9274306532e+03
1.2               	wall	2.3885889280e+02	1.2269910888e+04	3.3795625441e+03
