# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.2540337128e+02	1.1982253061e+04	2.7500145592e+03
0.2               	wall	7.5498029760e+01	9.6528464668e+03	1.7087894184e+03
0.3               	wall	4.4572924767e+01	3.3397613833e+03	2.0867205518e+03
0.4               	wall	7.5726549450e+01	3.2928390265e+03	2.0665138918e+03
0.5               	wall	5.6125102947e+01	2.7991656938e+03	1.6039083458e+03
0.6               	wall	6.9665608679e+01	3.8484896434e+03	2.2135053005e+03
0.7               	wall	8.2040690383e+01	2.7734255620e+03	1.6943911688e+03
0.8               	wall	6.3304466584e+01	2.9682287597e+03	1.7776625280e+03
0.9               	wall	7.5212326328e+01	3.6302163486e+03	2.1033598184e+03
1                 	wall	7.7184592947e+01	2.6571498082e+03	1.6033124055e+03
1.1               	wall	6.9414503160e+01	3.1979982723e+03	1.9206193102e+03
1.2               	wall	7.9251727161e+01	3.1814962396e+03	1.9548349641e+03
