# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	4.6737950702e+02	2.0575501562e+04	4.1160468140e+03
0.2               	wall	1.6081838820e+02	2.4771757454e+04	2.3784154233e+03
0.3               	wall	1.6286072398e+02	1.0385886442e+04	2.7653932678e+03
0.4               	wall	1.7457622568e+02	7.1730315677e+03	2.7918511018e+03
0.5               	wall	1.4692519403e+02	1.1574376746e+04	1.9761911717e+03
0.6               	wall	1.4761357895e+02	9.8319031475e+03	2.5834550163e+03
0.7               	wall	1.7064991498e+02	7.0357906378e+03	2.8753672400e+03
0.8               	wall	1.5545450841e+02	9.2182345444e+03	2.0743480639e+03
0.9               	wall	1.4110200006e+02	1.1273702502e+04	2.2437302746e+03
1                 	wall	1.6746121450e+02	9.8114579393e+03	2.9347403930e+03
1.1               	wall	1.6347124258e+02	7.1278705490e+03	2.3725131346e+03
1.2               	wall	1.4216401164e+02	1.1395944281e+04	2.0374616857e+03
