# Region type :   patch outlet
# Faces           : 387
# Area            : 8.2961617386e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0022358089      	0.0000000000e+00
0.014075595       	0.0000000000e+00
0.021912161       	0.0000000000e+00
0.029193799       	0.0000000000e+00
0.035721278       	0.0000000000e+00
0.041876577       	0.0000000000e+00
0.047379096       	1.8906559058e-304
0.052598689       	2.0911087531e-289
0.057757214       	7.6198962987e-275
0.06273718        	2.3760480026e-262
0.067524242       	1.4481864124e-251
0.072043677       	2.1540576861e-242
0.07632783        	1.8897239270e-234
0.080500844       	3.8286419348e-227
0.084620988       	4.0948575186e-220
0.088681048       	2.4583464279e-213
0.092662512       	6.6432145946e-207
0.096538581       	7.1020421233e-201
0.10037629        	4.3517489790e-195
0.10411678        	1.1109538091e-189
0.10783272        	1.6480206869e-184
0.11153974        	1.3486037939e-179
0.11524101        	4.4723688471e-175
0.11893577        	4.0499716311e-171
0.12262338        	8.0319119815e-168
0.12631677        	3.7727559435e-165
0.13000497        	5.6372330309e-163
0.13368892        	4.3111000106e-161
0.13737395        	2.5349153014e-159
0.14106986        	1.3590721420e-157
0.14478583        	6.5908998773e-156
0.14853668        	2.8903341632e-154
0.15233683        	1.2157516045e-152
0.15619154        	5.2533080639e-151
0.16009314        	2.4397203815e-149
0.16403213        	1.2345853865e-147
0.16799511        	6.5996830458e-146
0.17198656        	3.5988476729e-144
0.17602297        	1.9466814927e-142
0.18010924        	1.0039856796e-140
0.18424423        	4.8496023124e-139
0.18839048        	2.2371615866e-137
0.19253674        	1.1425678690e-135
0.196683          	8.4077512791e-134
0.20081633        	1.2335073650e-131
0.20488616        	4.4246997239e-129
0.20893859        	4.1262056853e-126
0.21296725        	6.9327095034e-123
0.21697088        	1.4584095217e-119
0.22094665        	3.5679862101e-116
0.22488572        	1.0327940290e-112
0.22877727        	2.9678501655e-109
0.2326153         	6.6765406991e-106
0.23640001        	1.0244608226e-102
0.2401375         	1.0426460203e-99
0.24383638        	7.3110060065e-97
0.24750387        	3.7603293066e-94
0.25113708        	1.4872027554e-91
0.25472681        	4.6521382848e-89
0.25826447        	1.1742899493e-86
