# Region type :   sampledSurface planeZ5
# Faces           : 966
# Area            : 8.2959467500e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0022358089      	0.0000000000e+00
0.01108658        	0.0000000000e+00
0.02050321        	0.0000000000e+00
0.028212545       	1.4739954478e-319
0.034384994       	1.3734297573e-290
0.039952598       	4.8761025142e-273
0.045143099       	3.0948185561e-259
0.049837234       	3.5436057065e-248
0.054418945       	1.0812308371e-237
0.058905116       	3.2087854917e-227
0.063195479       	4.8674742327e-217
0.067309612       	4.6353940766e-208
0.071209283       	2.4917776693e-200
0.074872269       	1.3013364105e-193
0.078380861       	1.4104039120e-187
0.081825014       	5.7522791176e-182
0.085235011       	1.2830085186e-176
0.088586129       	2.1795423447e-171
0.091871681       	3.2724354592e-166
0.095108664       	3.1105291699e-161
0.098264365       	1.2092874370e-156
0.10139702        	2.2330238296e-152
0.10448676        	1.6704172801e-148
0.10757281        	5.5133014362e-145
0.1106578         	7.7492333944e-142
0.11373802        	4.8075720449e-139
0.1168172         	1.5197356207e-136
0.11990702        	3.0301337746e-134
0.12301363        	4.5779085220e-132
0.12613724        	5.6595797469e-130
0.12927376        	5.4893787717e-128
0.13241715        	3.8279487063e-126
0.13556787        	1.8453910308e-124
0.13872293        	6.3195931202e-123
0.14189899        	1.7176955325e-121
0.14511484        	4.2265150330e-120
0.14839293        	1.0440783942e-118
0.1517551         	2.7101775791e-117
0.1552117         	7.3891033843e-116
0.15875193        	2.0822024496e-114
0.1623481         	5.9609165503e-113
0.16598851        	1.7291428373e-111
0.16968364        	5.1364258343e-110
0.17345618        	1.6048752478e-108
0.17731237        	5.4542504310e-107
0.18124596        	2.1377632581e-105
0.18523106        	1.0537446168e-103
0.18922267        	7.2458354732e-102
0.19321427        	7.9327223918e-100
0.19720588        	1.4555931700e-97
0.20116241        	3.9260856644e-95
0.20500912        	1.2069206666e-92
0.20882157        	4.5209324945e-90
0.21261224        	2.1405580264e-87
0.21637508        	1.2638569075e-84
0.22009389        	8.3198812618e-82
0.22375008        	5.0324368096e-79
0.22733193        	2.3272107920e-76
0.23083563        	7.4166394758e-74
0.23426209        	1.5938995997e-71
0.23761862        	2.3754894074e-69
0.24091576        	2.5588839789e-67
0.24416583        	2.0774984891e-65
0.24737947        	1.3194379686e-63
0.25056156        	6.7340802193e-62
0.25371219        	2.8061238616e-60
0.25682784        	9.5868785084e-59
0.25991068        	2.6928462426e-57
0.26296715        	6.2211409422e-56
0.26600861        	1.1834309840e-54
0.2690443         	1.8510786966e-53
