# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	6.8126817548e+01	8.1563463835e+03	2.6542819522e+03
0.2               	wall	6.1594010231e+01	4.7793204816e+03	1.7806496932e+03
0.3               	wall	5.4246097866e+01	3.7948322033e+03	1.9905188419e+03
0.4               	wall	5.7803235849e+01	4.9613458695e+03	2.2030257655e+03
0.5               	wall	5.2770818473e+01	4.0744167126e+03	1.5902403763e+03
0.6               	wall	5.2609811785e+01	4.4514748491e+03	2.1514978355e+03
0.7               	wall	5.5082297888e+01	5.1567707503e+03	1.8886215795e+03
0.8               	wall	5.1811872409e+01	3.7835849956e+03	1.7018071053e+03
0.9               	wall	5.4546435876e+01	5.1876615382e+03	2.1959926848e+03
1                 	wall	5.5376180671e+01	4.6085389076e+03	1.7432510375e+03
1.1               	wall	5.3364433257e+01	3.7687545181e+03	1.8660639227e+03
1.2               	wall	5.5694217502e+01	5.3060590724e+03	2.1062273225e+03
