# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	3.4568569489e+02	8.5570676774e+03	3.0865290905e+03
0.2               	wall	1.1884336682e+02	7.4692747699e+03	2.0128373678e+03
0.3               	wall	1.2157130385e+02	5.0917538314e+03	2.2079904070e+03
0.4               	wall	1.2183130112e+02	4.8300140591e+03	2.5625468866e+03
0.5               	wall	1.2090119134e+02	4.5603274953e+03	1.8191403845e+03
0.6               	wall	1.2282012864e+02	4.2895260176e+03	2.2803134748e+03
0.7               	wall	1.2130085903e+02	4.5121056366e+03	2.4132876297e+03
0.8               	wall	1.2127658049e+02	4.6047593068e+03	1.8595297151e+03
0.9               	wall	1.2217200075e+02	4.5738123258e+03	2.2701085436e+03
1                 	wall	1.2131467513e+02	4.2554140713e+03	2.3947777736e+03
1.1               	wall	1.2106023255e+02	4.7140620929e+03	1.8933644977e+03
1.2               	wall	1.2188539488e+02	4.6505672350e+03	2.2276959630e+03
