# Region type :   sampledSurface planeZ6p
# Faces           : 654
# Area            : 8.2959466294e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0022358089      	6.8999999975e+06
0.011040624       	6.8999995921e+06
0.019000616       	6.9000543880e+06
0.025116136       	6.9013381386e+06
0.030887987       	6.9075663722e+06
0.035848343       	6.9239321566e+06
0.040686689       	6.9384580706e+06
0.045126316       	6.9282184302e+06
0.04921605        	6.9105231936e+06
0.053244807       	6.9026278792e+06
0.057220129       	6.9033620409e+06
0.061057797       	6.9032733495e+06
0.064775819       	6.9019444848e+06
0.068367964       	6.9010919921e+06
0.071769306       	6.9003627735e+06
0.074994451       	6.8998035854e+06
0.078128824       	6.8996912297e+06
0.081227396       	6.8999651554e+06
0.08429508        	6.9002446496e+06
0.087322797       	6.9003990779e+06
0.090301282       	6.9006512863e+06
0.093240287       	6.9010995850e+06
0.096116761       	6.9014636445e+06
0.098993234       	6.9013592115e+06
0.10181348        	6.9005838719e+06
0.10459574        	6.8990673887e+06
0.10737555        	6.8965791419e+06
0.11015016        	6.8927316130e+06
0.11291708        	6.8873467537e+06
0.11568162        	6.8809815887e+06
0.11845003        	6.8752238411e+06
0.12122339        	6.8723147293e+06
0.12400115        	6.8739032421e+06
0.12678325        	6.8796450074e+06
0.12956716        	6.8870266574e+06
0.13235107        	6.8930211555e+06
0.13512953        	6.8961304878e+06
0.13791164        	6.8969435968e+06
0.14070412        	6.8970093835e+06
0.14351587        	6.8974387381e+06
0.14635674        	6.8983665779e+06
0.14924013        	6.8994232895e+06
0.15217484        	6.9003189973e+06
0.15515932        	6.9009208259e+06
0.15818341        	6.9011461414e+06
0.16123605        	6.9010169752e+06
0.16430853        	6.9006817332e+06
0.16740505        	6.9002491367e+06
0.17053304        	6.8996882778e+06
0.17369978        	6.8990099005e+06
0.17690511        	6.8985117328e+06
0.18014626        	6.8987196447e+06
0.18340097        	6.9000823818e+06
0.18665568        	6.9028337592e+06
0.18991039        	6.9070862128e+06
0.19316511        	6.9126677600e+06
0.19641982        	6.9186000217e+06
0.19967453        	6.9228990098e+06
0.20286365        	6.9235307463e+06
0.20603515        	6.9201300010e+06
0.20919998        	6.9143333507e+06
0.2123535         	6.9088000713e+06
0.21548753        	6.9053179846e+06
0.21859532        	6.9038555078e+06
0.22167225        	6.9032597417e+06
0.22471568        	6.9025244247e+06
0.22771992        	6.9013880975e+06
0.23067892        	6.9001224655e+06
0.23358885        	6.8990861624e+06
0.23645331        	6.8984790944e+06
0.23928182        	6.8983239258e+06
0.24208426        	6.8985320135e+06
0.24486889        	6.8989796919e+06
0.24763777        	6.8995705793e+06
0.25038665        	6.9002438556e+06
0.25311209        	6.9009204608e+06
0.2558128         	6.9014431364e+06
0.25849185        	6.9015767943e+06
0.26115549        	6.9010725088e+06
0.26380915        	6.8997490584e+06
0.26646049        	6.8975414316e+06
0.26911408        	6.8945189626e+06
0.27177666        	6.8908954649e+06
0.27444395        	6.8870766423e+06
0.27711997        	6.8836399363e+06
0.279796          	6.8812751836e+06
0.28248247        	6.8805524836e+06
0.28517747        	6.8816997626e+06
0.28787248        	6.8843999921e+06
0.29056748        	6.8878710864e+06
0.29326249        	6.8911962596e+06
0.29595749        	6.8937316481e+06
0.2986525         	6.8953426779e+06
0.30137006        	6.8963413220e+06
0.3041221         	6.8971854035e+06
0.30689264        	6.8981877222e+06
0.3096829         	6.8993827545e+06
0.31249225        	6.9005807000e+06
0.31531605        	6.9015304507e+06
0.31814356        	6.9020594538e+06
0.32096101        	6.9021297218e+06
0.32375425        	6.9018123019e+06
0.32650808        	6.9012281264e+06
0.32920874        	6.9005005195e+06
0.3318423         	6.8997479246e+06
0.33439496        	6.8991028158e+06
0.33685248        	6.8987147971e+06
0.33920321        	6.8987212104e+06
0.34144124        	6.8992087485e+06
0.34356794        	6.9001952537e+06
0.34559058        	6.9016382614e+06
0.34752065        	6.9034567907e+06
0.34937175        	6.9055508092e+06
0.35115865        	6.9078129683e+06
0.35289506        	6.9101305342e+06
0.354593          	6.9123850716e+06
0.35626334        	6.9144543433e+06
0.35791463        	6.9162151855e+06
0.3595547         	6.9175536454e+06
0.36118949        	6.9183755935e+06
0.36282572        	6.9186214168e+06
0.36446794        	6.9182769967e+06
0.36612012        	6.9173831636e+06
0.36778613        	6.9160353992e+06
0.36946806        	6.9143752159e+06
0.37116898        	6.9125674284e+06
0.37289099        	6.9107750884e+06
0.37463376        	6.9091324956e+06
0.37639864        	6.9077176993e+06
0.37818353        	6.9065472132e+06
0.37998719        	6.9055796411e+06
0.38180681        	6.9047403427e+06
0.38363967        	6.9039505196e+06
0.38548075        	6.9031543977e+06
0.38733033        	6.9023301322e+06
0.38917992        	6.9014966609e+06
0.39102951        	6.9006951441e+06
0.39287909        	6.8999767735e+06
0.39472868        	6.8993880923e+06
0.39657826        	6.8989619492e+06
0.39842785        	6.8987140567e+06
0.40028151        	6.8986435260e+06
0.40216347        	6.8987387623e+06
0.40405424        	6.8989768433e+06
0.40595278        	6.8993248494e+06
0.40785716        	6.8997428580e+06
0.40976469        	6.9001825165e+06
0.41167241        	6.9005868053e+06
0.41357961        	6.9008915782e+06
0.41548524        	6.9010277559e+06
