# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.4254566260e+02	1.5607242591e+04	2.8640731134e+03
0.2               	wall	1.3161944687e+02	6.1451754169e+03	1.8795467757e+03
0.3               	wall	1.2946930916e+02	4.3590128632e+03	2.0717969457e+03
0.4               	wall	1.4499242822e+02	4.6839195787e+03	2.5060084428e+03
0.5               	wall	1.4307828598e+02	4.3618439330e+03	1.7010511785e+03
0.6               	wall	1.3000054656e+02	4.3634057436e+03	2.1244076314e+03
0.7               	wall	1.4132094475e+02	4.5118803144e+03	2.3744185796e+03
0.8               	wall	1.4136979677e+02	4.1472770777e+03	1.7154988206e+03
0.9               	wall	1.2608762676e+02	4.2802125823e+03	2.0523750448e+03
1                 	wall	1.3940526116e+02	4.3221618520e+03	2.3573281608e+03
1.1               	wall	1.3954124427e+02	4.2950428906e+03	1.7454004093e+03
1.2               	wall	1.2494685554e+02	4.3987313761e+03	1.9905293401e+03
