# Region type :   sampledSurface planeZ4p
# Faces           : 988
# Area            : 8.2953449955e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0021697718      	6.9000000689e+06
0.0091179012      	6.8999246040e+06
0.013919112       	6.9000411964e+06
0.015810148       	6.9005536511e+06
0.017375818       	6.9018642824e+06
0.019030437       	6.9057568434e+06
0.020809876       	6.9159311211e+06
0.022595892       	6.9347489946e+06
0.024365299       	6.9581244287e+06
0.026128117       	6.9747681428e+06
0.027879619       	6.9782511408e+06
0.029606043       	6.9750962491e+06
0.031295084       	6.9731719250e+06
0.033010499       	6.9732822630e+06
0.035044437       	6.9735512034e+06
0.038105406       	6.9743304614e+06
0.042034961       	6.9750733708e+06
0.046835712       	6.9722270918e+06
0.052998697       	6.9819350542e+06
0.056826631       	6.9554973330e+06
0.059934276       	6.9279224869e+06
0.062498854       	6.9190027007e+06
0.064746852       	6.9209306708e+06
0.06690706        	6.9239713220e+06
0.069050935       	6.9240492065e+06
0.071185748       	6.9213642601e+06
0.073356203       	6.9171551353e+06
0.075676314       	6.9132348640e+06
0.078209235       	6.9112000574e+06
0.081088445       	6.9072574910e+06
0.084643593       	6.8947679385e+06
0.088048852       	6.8861587052e+06
0.090674241       	6.8870149908e+06
0.092912645       	6.8892899355e+06
0.094865064       	6.8899996131e+06
0.096644201       	6.8892330625e+06
0.098365124       	6.8868840333e+06
0.10009132        	6.8828214561e+06
0.10203141        	6.8765114215e+06
0.10434406        	6.8672054364e+06
0.10727219        	6.8551237619e+06
0.11054604        	6.8441239137e+06
0.11341127        	6.8377974821e+06
0.11587981        	6.8350686058e+06
0.11821951        	6.8346809177e+06
0.12062273        	6.8360495600e+06
0.1231888         	6.8382684967e+06
0.12585223        	6.8396819416e+06
0.12842716        	6.8385446107e+06
0.13081845        	6.8357189251e+06
0.13305684        	6.8342763911e+06
0.13522919        	6.8367884805e+06
0.13743857        	6.8437258035e+06
0.13980402        	6.8536369063e+06
