# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.1227878179e+02	1.0969713426e+04	2.7158689624e+03
0.2               	wall	1.1389954219e+02	8.2560804624e+03	1.6136831679e+03
0.3               	wall	1.1233000743e+02	1.0172719642e+04	2.2706816471e+03
0.4               	wall	1.1393614040e+02	8.0769073714e+03	1.8017697427e+03
0.5               	wall	9.5162861919e+01	9.3681866947e+03	1.9007964134e+03
0.6               	wall	4.5043440021e+01	4.2425724314e+03	2.0167405188e+03
0.7               	wall	3.7997563143e+01	3.9858616332e+03	1.6037790372e+03
0.8               	wall	4.3467094514e+01	4.2265119887e+03	2.0621139697e+03
0.9               	wall	4.1192684925e+01	4.1899141361e+03	1.6306239787e+03
1                 	wall	3.9190177011e+01	4.0986238550e+03	1.7713873357e+03
1.1               	wall	4.3072157043e+01	4.2284429466e+03	1.8658550646e+03
1.2               	wall	3.9300829845e+01	4.1189301802e+03	1.5513736503e+03
