# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.6532392966e+02	9.6010276724e+03	3.0663283580e+03
0.2               	wall	1.6718734602e+02	8.9027717785e+03	2.0582964196e+03
0.3               	wall	1.5867894380e+02	1.2344733135e+04	2.0882087583e+03
0.4               	wall	1.6881558089e+02	9.4584978244e+03	2.7214972365e+03
0.5               	wall	1.6426050583e+02	9.2583539094e+03	1.9650956677e+03
0.6               	wall	1.6013219018e+02	1.2670523787e+04	2.0246945251e+03
0.7               	wall	1.6726717684e+02	9.8558032168e+03	2.6259445587e+03
0.8               	wall	1.6545809887e+02	9.3760891088e+03	2.0729744259e+03
0.9               	wall	1.6086661904e+02	1.3140010218e+04	1.9573194187e+03
1                 	wall	1.6609231174e+02	1.0230385268e+04	2.5442592876e+03
1.1               	wall	1.6608998157e+02	9.5975635033e+03	2.1692304198e+03
1.2               	wall	1.6163347533e+02	1.3285129447e+04	1.9215999959e+03
