# Region type :   sampledSurface planeZ6
# Faces           : 654
# Area            : 8.2959466294e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0022358089      	0.0000000000e+00
0.014075595       	0.0000000000e+00
0.021912161       	0.0000000000e+00
0.029193799       	0.0000000000e+00
0.035721278       	1.2818071636e-313
0.041876577       	6.4988426903e-290
0.047379096       	3.8281283582e-275
0.052598689       	7.9113124623e-261
0.057757214       	4.9521439793e-247
0.06273718        	2.7721825441e-235
0.067524242       	4.9797821392e-225
0.072043677       	3.3387405363e-216
0.07632783        	1.8957820690e-208
0.080500844       	2.9554727218e-201
0.084620988       	1.9540599809e-194
0.088681048       	5.3855605167e-188
0.092662512       	6.3285773239e-182
0.096538581       	3.0846277407e-176
0.10037629        	8.9959530007e-171
0.10411678        	1.3081806863e-165
0.10783272        	1.2172265414e-160
0.11153974        	5.2067797587e-156
0.11524101        	7.2142380409e-152
0.11893577        	2.7512110634e-148
0.12262338        	3.0140683461e-145
0.12631677        	1.1772315795e-142
0.13000497        	2.0431817809e-140
0.13368892        	1.9372140361e-138
0.13737395        	1.1833026449e-136
0.14106986        	5.4776859640e-135
0.14478583        	2.1936124939e-133
0.14853668        	8.1744744433e-132
0.15233683        	2.9496193136e-130
0.15619154        	1.0695767485e-128
0.16009314        	3.9814718138e-127
0.16403213        	1.5261632912e-125
0.16799511        	5.9351473674e-124
0.17198656        	2.3138294436e-122
0.17602297        	8.9527196451e-121
0.18010924        	3.4074340503e-119
0.18424423        	1.3051163619e-117
0.18839048        	5.2645464954e-116
0.19253674        	2.5765319253e-114
0.196683          	1.9004196943e-112
0.20081633        	2.6098519676e-110
0.20488616        	7.1540157884e-108
0.20893859        	4.3531748197e-105
0.21296725        	5.6174368012e-102
0.21697088        	1.2089550163e-98
0.22094665        	3.0064333087e-95
0.22488572        	6.4844020548e-92
0.22877727        	1.0388493831e-88
0.2326153         	1.1665219037e-85
0.23640001        	9.1448153134e-83
0.2401375         	5.1379234747e-80
0.24383638        	2.1506865833e-77
0.24750387        	6.9533032482e-75
0.25113708        	1.7613666049e-72
0.25472681        	3.5082482164e-70
0.25826447        	5.5459398421e-68
