Model,Target,R²,MAE,RMSE,MAPE(%)
GPR,CoV,0.9251147719859044,0.08316508703894887,0.10186980950003346,43.69985674222554
GPR,ΔP (kPa),0.08115486682872308,0.9346177463520355,1.4652156147729145,2598.098832178217
Random Forest,CoV,0.8646267004675334,0.103273759936687,0.13696636277083396,110.87440282194258
Random Forest,ΔP (kPa),0.01693655352030976,0.8848544912174084,1.5155530837406728,272.56854722152127
Gradient Boosting,CoV,0.8971934271525017,0.09610793611911239,0.11935973795228534,38.26103168097498
Gradient Boosting,ΔP (kPa),-0.06666361051443626,0.8521516961629942,1.5786800408622248,2791.527166751781
DNN (5-fold CV),CoV,0.7034843541373053,0.13225919284162332,0.20270815594875072,80.72814089212811
DNN (5-fold CV),ΔP (kPa),-0.07956691335852151,1.039721135855174,1.5881998896429563,1723.4982138223252
