# Region type :   patch outlet
# Faces           : 387
# Area            : 8.2961616953e-02
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0020502426      	1.9172319992e+01
0.0077284894      	1.9164232512e+01
0.013399503       	1.9156593957e+01
0.018699284       	1.9153449125e+01
0.024384649       	1.9258499473e+01
0.030070014       	2.0034237670e+01
0.035755378       	2.4847341177e+01
0.041440743       	3.9954790506e+01
0.047126108       	5.0068039976e+01
0.052811473       	4.9061961555e+01
0.058496837       	4.9965100430e+01
0.064182202       	5.2040598636e+01
0.069867567       	5.2897877704e+01
0.075552932       	5.1913488905e+01
0.081238296       	5.0380934850e+01
0.086923661       	4.9892170850e+01
0.092609026       	5.0688868709e+01
0.098114853       	5.1482941819e+01
0.10369318        	5.1112102176e+01
0.109375          	4.9202426973e+01
0.11505682        	4.5285381282e+01
0.12073864        	3.7887274013e+01
0.12642045        	2.8388203822e+01
0.13210227        	2.2127229860e+01
0.13778409        	2.0489562279e+01
0.14346591        	1.9744987582e+01
0.14914773        	1.8771428748e+01
0.15482955        	1.8734541493e+01
0.16051136        	1.9626171197e+01
0.16619318        	2.0737866268e+01
0.171875          	2.0906786648e+01
0.17755682        	2.0341200512e+01
0.18323864        	2.0445715137e+01
0.18892045        	2.2039904796e+01
0.19460227        	2.5720403062e+01
0.20028409        	3.1921721964e+01
0.20596591        	3.9770401947e+01
0.21164773        	4.6401016328e+01
0.21732955        	4.9786074024e+01
0.22301136        	5.0939707538e+01
0.22869318        	5.1538412445e+01
0.234375          	5.1745514846e+01
0.24005682        	5.1275623521e+01
0.24573864        	5.0488386889e+01
0.25142045        	5.0067797499e+01
0.25710227        	5.0137475573e+01
0.26278409        	4.9994797941e+01
0.26846591        	4.8702724804e+01
0.27414773        	4.5682679192e+01
0.27982955        	4.0730230836e+01
0.28551136        	3.4283412807e+01
0.29119318        	2.7967336742e+01
0.296875          	2.3456543274e+01
0.30255682        	2.1182650409e+01
0.30823864        	2.0323424376e+01
0.31392045        	2.0050830756e+01
0.31960227        	2.0170960377e+01
0.32528409        	2.0600706346e+01
0.33096591        	2.1006060498e+01
0.33664773        	2.1219703878e+01
0.34232955        	2.1619216565e+01
0.34801136        	2.2918243230e+01
0.35369318        	2.5740659299e+01
0.359375          	3.0314282853e+01
0.36505682        	3.6188770109e+01
0.37073864        	4.2111468158e+01
0.37642045        	4.6650039502e+01
0.38210227        	4.9215250236e+01
0.38778409        	5.0297947904e+01
0.39346591        	5.0676129870e+01
0.39914773        	5.0750342148e+01
0.40482955        	5.0622034377e+01
0.41051136        	5.0359131332e+01
0.41619318        	5.0067934432e+01
0.421875          	4.9556548907e+01
0.42755682        	4.8257211144e+01
0.43323864        	4.5652724604e+01
0.43892045        	4.1623667037e+01
0.44460227        	3.6534160503e+01
0.45028409        	3.1241467676e+01
0.45596591        	2.6722184096e+01
0.46164773        	2.3599913928e+01
0.46732955        	2.1879546380e+01
0.47301136        	2.1111777711e+01
0.47869318        	2.0848697055e+01
0.484375          	2.0871260198e+01
0.49005682        	2.1076907406e+01
0.49573864        	2.1435439302e+01
0.50142045        	2.2113276907e+01
0.50710227        	2.3513117755e+01
0.51278409        	2.6060667539e+01
0.51846591        	2.9902012837e+01
0.52414773        	3.4716536334e+01
0.52982955        	3.9733125441e+01
0.53551136        	4.4052167544e+01
0.54119318        	4.7105256121e+01
0.546875          	4.8878447967e+01
0.55255682        	4.9741430312e+01
0.55823864        	5.0084122757e+01
0.56392045        	5.0099174068e+01
0.56960227        	4.9906353133e+01
0.57528409        	4.9544462018e+01
0.58096591        	4.8839254667e+01
0.58664773        	4.7451814738e+01
0.59232955        	4.5028657920e+01
0.59801136        	4.1495455112e+01
0.60369318        	3.7116460143e+01
0.609375          	3.2516392358e+01
0.61505682        	2.8392407009e+01
0.62073864        	2.5222458831e+01
0.62642045        	2.3139370739e+01
0.63210227        	2.1978976178e+01
0.63778409        	2.1465714421e+01
0.64346591        	2.1375858850e+01
0.64914773        	2.1564526746e+01
0.65482955        	2.2000004643e+01
0.66051136        	2.2823048653e+01
0.66619318        	2.4307654478e+01
0.671875          	2.6712241397e+01
0.67755682        	3.0092526516e+01
0.68323864        	3.4167721413e+01
0.68892045        	3.8358946675e+01
0.69460227        	4.2030848770e+01
0.70028409        	4.4763412702e+01
0.70596591        	4.6473593012e+01
0.71164773        	4.7339637272e+01
0.71732955        	4.7622683011e+01
0.72301136        	4.7537783248e+01
0.72869318        	4.7234368723e+01
0.734375          	4.6711655074e+01
0.74005682        	4.5837451564e+01
0.74573864        	4.4374062485e+01
0.75142045        	4.2095727443e+01
0.75710227        	3.8994194981e+01
0.76278409        	3.5295535800e+01
