# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	2.5293873928e+02	1.5231045950e+04	4.2210049514e+03
0.2               	wall	2.4813272396e+02	1.1439486536e+04	2.4549187996e+03
0.3               	wall	2.2503060012e+02	1.3990556839e+04	2.5209145545e+03
0.4               	wall	2.6123720033e+02	1.0424166253e+04	3.2699514533e+03
0.5               	wall	2.5305999092e+02	1.1441439365e+04	2.5172783421e+03
0.6               	wall	2.3876261574e+02	1.5901382271e+04	2.1558563389e+03
0.7               	wall	2.4881429107e+02	1.1880972892e+04	2.9099107887e+03
0.8               	wall	2.5974246058e+02	9.5321616849e+03	3.1991993619e+03
0.9               	wall	2.5072307858e+02	1.2731074069e+04	2.3072581072e+03
1                 	wall	2.3378827114e+02	1.4755768286e+04	2.2932713069e+03
1.1               	wall	2.5842953360e+02	1.2728471800e+04	3.1459317029e+03
1.2               	wall	2.5764218703e+02	1.0299785041e+04	2.9373158043e+03
