# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	8.6576872868e+01	1.1956422842e+04	2.7409818872e+03
0.2               	wall	5.0412824029e+01	1.1578553731e+04	1.6664764364e+03
0.3               	wall	4.9227741450e+01	1.1270231060e+04	2.2666739742e+03
0.4               	wall	5.0530320787e+01	1.0903398848e+04	1.8361535313e+03
0.5               	wall	6.7309311413e+01	3.8995254312e+03	1.7807174177e+03
0.6               	wall	3.4454621811e+01	5.1968809023e+03	2.0824180388e+03
0.7               	wall	2.6568412896e+01	3.2582134282e+03	1.5558765464e+03
0.8               	wall	3.5088611897e+01	3.6746646834e+03	2.0112734396e+03
0.9               	wall	2.2212919328e+01	3.3461614342e+03	1.6706195658e+03
1                 	wall	2.7481454233e+01	3.0486724721e+03	1.6498965270e+03
1.1               	wall	3.6072569035e+01	4.5635719660e+03	1.9054159733e+03
1.2               	wall	2.2440387014e+01	2.7684465402e+03	1.5238650983e+03
