# Region type :   sampledSurface planeZ4
# Faces           : 988
# Area            : 8.2953449955e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.002180784       	0.0000000000e+00
0.0092011222      	0.0000000000e+00
0.014116593       	9.1698583868e-321
0.016106996       	2.3921109769e-243
0.017797168       	1.9465089516e-213
0.019611627       	6.2781513133e-188
0.02153643        	8.4879871712e-167
0.023452331       	1.1184091575e-150
0.025355407       	1.1401661822e-138
0.027249172       	5.9310862103e-130
0.029125934       	2.2837728166e-123
0.030977194       	8.5577164860e-118
0.032831817       	1.6905375953e-112
0.034900042       	9.2660129626e-107
0.037952975       	6.1098116816e-98
0.042511053       	9.0512830386e-86
0.048136195       	4.4335176361e-75
0.054710008       	1.2090391089e-62
0.05863084        	2.0342141073e-57
0.06175707        	1.7916996191e-53
0.064371899       	2.9971821850e-50
0.066654319       	2.0205389884e-47
0.068845588       	1.2601954041e-44
0.07106217        	8.9089650556e-42
0.073294982       	5.1222905355e-39
0.075638037       	2.8462960465e-36
0.078331984       	2.3358660118e-33
0.0816099         	4.1236434092e-30
0.085437642       	1.2880443025e-26
0.089152882       	9.9444108060e-24
0.092017341       	9.8463735447e-22
0.094336639       	2.5633825049e-20
0.096348383       	3.2631046285e-19
0.098270287       	3.0286530972e-18
0.1001996         	2.3462742726e-17
0.10232422        	1.8150055713e-16
0.10483088        	1.5010275367e-15
0.10794708        	1.3177494043e-14
0.11127445        	8.1817974972e-14
0.11418609        	2.9166167555e-13
0.11677414        	7.6620707695e-13
0.11931112        	1.8167080424e-12
0.12200822        	4.5313997115e-12
0.12489883        	1.3446306804e-11
0.12776612        	4.9811649015e-11
0.13041909        	2.0273996484e-10
0.13288369        	7.7384402991e-10
0.13527638        	2.6484019298e-09
0.13771947        	8.3235836170e-09
0.1403372         	2.4636298774e-08
0.143234          	6.9659799789e-08
0.14639751        	1.8801800268e-07
0.14963853        	4.6436841996e-07
0.1527877         	1.0329342578e-06
0.15581763        	2.1348378733e-06
0.15872002        	4.1409103778e-06
0.16145639        	7.4859506528e-06
0.16400419        	1.2565533474e-05
0.1664079         	1.9803067453e-05
0.16875161        	2.9844894775e-05
0.17115647        	4.3935000299e-05
0.17380967        	6.4876349877e-05
0.17703588        	9.9908698998e-05
0.18111185        	1.6403911771e-04
0.18498922        	2.4896328064e-04
0.18809766        	3.3372223288e-04
0.19072521        	4.1769120389e-04
0.19317644        	5.1059616340e-04
0.19565145        	6.3000530505e-04
0.19827081        	8.0683003379e-04
0.20101456        	1.0739066440e-03
0.20399936        	1.4770585066e-03
0.20698866        	1.9994697136e-03
0.20990416        	2.6239520133e-03
0.21277836        	3.3531710072e-03
0.21565342        	4.1987428820e-03
0.21857993        	5.1880256547e-03
0.22150768        	6.3135490998e-03
0.22432208        	7.5193630902e-03
0.226963          	8.7480816894e-03
0.22945743        	9.9791307575e-03
0.23187248        	1.1216286738e-02
0.2342787         	1.2478152871e-02
0.23673668        	1.3794104652e-02
0.2392861         	1.5210362545e-02
0.24194042        	1.6796935689e-02
0.24468375        	1.8644189286e-02
0.24748491        	2.0850904381e-02
0.25029337        	2.3487086725e-02
0.25304779        	2.6562503098e-02
0.25569416        	3.0017940379e-02
0.25815263        	3.3672193120e-02
0.26046822        	3.7481285198e-02
