# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	2.2190819503e+02	1.7898744535e+04	2.7063832848e+03
0.2               	wall	7.8335074269e+01	1.1428501343e+04	1.7062995219e+03
0.3               	wall	8.1767636923e+01	6.5515745627e+03	2.0968014915e+03
0.4               	wall	7.8901643493e+01	4.5359427118e+03	2.0682246993e+03
0.5               	wall	8.2165675436e+01	6.4472797069e+03	1.6388705158e+03
0.6               	wall	7.9405626969e+01	5.2188329043e+03	2.2417456466e+03
0.7               	wall	8.1639899824e+01	4.5499554066e+03	1.7292987235e+03
0.8               	wall	8.1264854318e+01	5.9005892884e+03	1.8565839493e+03
0.9               	wall	7.9850488193e+01	4.7117167700e+03	2.1027578938e+03
1                 	wall	8.2169368157e+01	5.0414210493e+03	1.6390313949e+03
1.1               	wall	8.1095258224e+01	5.5136317756e+03	2.0220801683e+03
1.2               	wall	8.0595785996e+01	4.6156351528e+03	1.9022719449e+03
