# Region type :   sampledSurface planeZ6p
# Faces           : 654
# Area            : 8.2959466301e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.001928031       	6.9000000017e+06
0.0066204697      	6.8999999101e+06
0.010030769       	6.8999999943e+06
0.011906972       	6.9000001579e+06
0.013705008       	6.9000008385e+06
0.015619259       	6.9000032057e+06
0.017547904       	6.9000087320e+06
0.019433094       	6.9000251231e+06
0.021292519       	6.9000937548e+06
0.023182891       	6.9002848761e+06
0.02502125        	6.9005547248e+06
0.026607595       	6.9008148541e+06
0.028013469       	6.9012832092e+06
0.029376892       	6.9024845743e+06
0.030734749       	6.9052348321e+06
0.032082619       	6.9104978067e+06
0.033416523       	6.9188267790e+06
0.034747782       	6.9294082206e+06
0.036112505       	6.9395358256e+06
0.037517471       	6.9453951026e+06
0.038881836       	6.9457703214e+06
0.040143504       	6.9432058118e+06
0.041339178       	6.9394413166e+06
0.042504548       	6.9342892437e+06
0.043640846       	6.9273261525e+06
0.044748064       	6.9191048597e+06
0.045841401       	6.9110176691e+06
0.046948465       	6.9046214912e+06
0.04808858        	6.9010704270e+06
0.049248753       	6.9003400094e+06
0.050390602       	6.9010462152e+06
0.05149099        	6.9017978558e+06
0.052559133       	6.9021713691e+06
0.053600321       	6.9023481826e+06
0.054606744       	6.9025278518e+06
0.05558401        	6.9027143071e+06
0.056555948       	6.9028246269e+06
0.057543207       	6.9028151179e+06
0.058550584       	6.9027165123e+06
0.059569073       	6.9025921544e+06
0.060579102       	6.9024725786e+06
0.061563529       	6.9023433172e+06
0.062520027       	6.9021860932e+06
0.063451447       	6.9020030824e+06
0.064358257       	6.9018029559e+06
0.065249331       	6.9015828450e+06
0.066141734       	6.9013327233e+06
0.067046638       	6.9010526535e+06
0.067964224       	6.9007649159e+06
0.068881987       	6.9005148432e+06
0.069780444       	6.9003532172e+06
0.070649201       	6.9003081324e+06
0.071492499       	6.9003741383e+06
0.072321592       	6.9005201088e+06
0.073145594       	6.9007028764e+06
0.073969608       	6.9008831551e+06
0.074796054       	6.9010364161e+06
0.075623491       	6.9011512177e+06
0.076445027       	6.9012238272e+06
0.077248325       	6.9012587699e+06
0.078019181       	6.9012674417e+06
0.078750068       	6.9012585857e+06
0.079444683       	6.9012318650e+06
0.080113743       	6.9011811602e+06
0.080766073       	6.9011012408e+06
0.081402689       	6.9009930986e+06
0.082017271       	6.9008658387e+06
0.082603565       	6.9007334753e+06
0.083159118       	6.9006098903e+06
0.083683177       	6.9005056744e+06
0.084174371       	6.9004265487e+06
0.084632225       	6.9003727945e+06
0.085058579       	6.9003407941e+06
0.085457934       	6.9003255585e+06
0.085836379       	6.9003227028e+06
0.086200066       	6.9003292476e+06
0.086554529       	6.9003436349e+06
0.08690409        	6.9003654456e+06
0.08725162        	6.9003950122e+06
0.087598848       	6.9004330389e+06
0.087946219       	6.9004802049e+06
0.088292859       	6.9005367880e+06
0.088637326       	6.9006025100e+06
0.088978198       	6.9006765424e+06
0.089314569       	6.9007576126e+06
0.089645958       	6.9008440283e+06
0.089972487       	6.9009337491e+06
0.090294327       	6.9010242985e+06
0.090611591       	6.9011128218e+06
0.090924257       	6.9011962529e+06
0.091232149       	6.9012715986e+06
0.091535147       	6.9013363096e+06
0.091833446       	6.9013885706e+06
0.092127399       	6.9014273601e+06
0.09241775        	6.9014524508e+06
0.09270538        	6.9014642406e+06
0.092991295       	6.9014635944e+06
0.093276371       	6.9014516966e+06
0.093561488       	6.9014299462e+06
0.093847303       	6.9013999064e+06
0.094134187       	6.9013633123e+06
0.094422231       	6.9013221042e+06
0.094711507       	6.9012784187e+06
0.095001576       	6.9012346666e+06
0.095292182       	6.9011933820e+06
0.095582788       	6.9011571684e+06
0.09587276        	6.9011284765e+06
0.096161917       	6.9011093392e+06
0.096449934       	6.9011012549e+06
0.096736557       	6.9011050219e+06
0.097021621       	6.9011206790e+06
0.097304915       	6.9011475079e+06
0.097586495       	6.9011841306e+06
0.097866115       	6.9012285494e+06
0.098143735       	6.9012783253e+06
0.098419286       	6.9013306901e+06
0.098692665       	6.9013827019e+06
0.098965027       	6.9014316544e+06
0.09923502        	6.9014745930e+06
0.099503434       	6.9015093863e+06
0.099771848       	6.9015345230e+06
0.10004036        	6.9015490258e+06
0.1003097         	6.9015528468e+06
0.10057977        	6.9015468610e+06
0.10085074        	6.9015328848e+06
0.10112265        	6.9015135080e+06
0.10139541        	6.9014918635e+06
0.10166885        	6.9014713405e+06
0.10194274        	6.9014552751e+06
0.10221684        	6.9014466579e+06
0.10249089        	6.9014478842e+06
0.10276465        	6.9014605848e+06
0.10303793        	6.9014855779e+06
0.10331052        	6.9015229548e+06
0.10358228        	6.9015722756e+06
0.10385305        	6.9016327886e+06
0.10412272        	6.9017035672e+06
0.10439117        	6.9017834525e+06
0.10465832        	6.9018707963e+06
0.10492414        	6.9019630298e+06
0.10518865        	6.9020561781e+06
0.10545195        	6.9021444579e+06
0.10571426        	6.9022200695e+06
0.10597588        	6.9022732729e+06
0.10623717        	6.9022927441e+06
0.10649847        	6.9022662178e+06
0.10676011        	6.9021813629e+06
0.10702233        	6.9020267568e+06
0.10728529        	6.9017928522e+06
0.10754904        	6.9014727939e+06
0.10781354        	6.9010629804e+06
0.10807867        	6.9005633190e+06
0.10834428        	6.8999770479e+06
0.1086102         	6.8993101311e+06
0.10887623        	6.8985703193e+06
0.10914222        	6.8977656688e+06
0.10940798        	6.8969033193e+06
0.10967336        	6.8959883186e+06
0.10993824        	6.8950234156e+06
0.11020248        	6.8940096286e+06
0.11046595        	6.8929471463e+06
0.11072854        	6.8918364853e+06
0.11099018        	6.8906791286e+06
0.11125082        	6.8894778805e+06
0.11151043        	6.8882366946e+06
0.11176908        	6.8869600343e+06
0.11202685        	6.8856526125e+06
0.11228394        	6.8843186047e+06
0.11254059        	6.8829616417e+06
0.11279705        	6.8815848752e+06
0.11305361        	6.8801912145e+06
0.11331045        	6.8787840692e+06
0.11356775        	6.8773677296e+06
0.11382571        	6.8759472645e+06
0.11408438        	6.8745303496e+06
0.11434371        	6.8731268192e+06
0.11460364        	6.8717488369e+06
0.11486403        	6.8704108571e+06
0.11512473        	6.8691293234e+06
0.11538558        	6.8679218169e+06
0.11564643        	6.8668065279e+06
0.11590713        	6.8658012843e+06
0.11616756        	6.8649222590e+06
0.11642757        	6.8641835508e+06
0.11668705        	6.8635965850e+06
0.11694591        	6.8631693552e+06
0.11720402        	6.8629061536e+06
0.11746132        	6.8628071858e+06
0.11771777        	6.8628688311e+06
0.11797334        	6.8630837900e+06
0.11822807        	6.8634417668e+06
0.11848206        	6.8639300673e+06
0.11873545        	6.8645345013e+06
0.11898843        	6.8652402046e+06
0.11924122        	6.8660322837e+06
0.11949407        	6.8668966760e+06
0.11974717        	6.8678206853e+06
0.1200007         	6.8687938381e+06
0.12025479        	6.8698076536e+06
0.12050951        	6.8708566158e+06
0.12076487        	6.8719377593e+06
0.12102081        	6.8730496027e+06
0.12127725        	6.8741923678e+06
0.12153405        	6.8753667973e+06
0.12179107        	6.8765736357e+06
0.12204817        	6.8778130942e+06
0.12230521        	6.8790844669e+06
0.12256205        	6.8803863402e+06
0.12281859        	6.8817167539e+06
0.12307471        	6.8830723005e+06
0.12333031        	6.8844484347e+06
0.1235853         	6.8858391473e+06
0.12383959        	6.8872371844e+06
0.12409314        	6.8886341015e+06
0.12434591        	6.8900199064e+06
0.12459792        	6.8913833183e+06
0.12484923        	6.8927121184e+06
0.12509994        	6.8939932461e+06
0.12535022        	6.8952134044e+06
0.12560024        	6.8963597707e+06
0.12585021        	6.8974200814e+06
0.1261003         	6.8983836088e+06
0.1263507         	6.8992418798e+06
0.12660153        	6.8999893631e+06
0.12685288        	6.9006235694e+06
0.12710481        	6.9011458304e+06
0.12735728        	6.9015613553e+06
0.12761027        	6.9018788654e+06
0.12786367        	6.9021099537e+06
0.12811738        	6.9022683416e+06
0.12837127        	6.9023688432e+06
0.12862519        	6.9024265257e+06
0.12887904        	6.9024558482e+06
0.12913269        	6.9024701938e+06
0.12938602        	6.9024815936e+06
0.12963895        	6.9025004931e+06
0.12989138        	6.9025356063e+06
0.13014323        	6.9025936718e+06
0.13039443        	6.9026791185e+06
0.13064493        	6.9027937477e+06
0.13089471        	6.9029364924e+06
0.13114381        	6.9031033895e+06
0.13139229        	6.9032878060e+06
0.13164027        	6.9034809765e+06
0.13188788        	6.9036727804e+06
0.13213526        	6.9038526928e+06
0.1323826         	6.9040106827e+06
0.13263007        	6.9041382041e+06
0.1328778         	6.9042289311e+06
0.1331259         	6.9042793093e+06
0.13337446        	6.9042887816e+06
0.13362351        	6.9042597940e+06
0.13387305        	6.9041974895e+06
0.13412302        	6.9041091048e+06
0.13437337        	6.9040032026e+06
0.134624          	6.9038888203e+06
0.13487481        	6.9037746293e+06
0.13512568        	6.9036682677e+06
0.13537648        	6.9035759451e+06
0.13562711        	6.9035022812e+06
0.13587749        	6.9034502835e+06
0.13612749        	6.9034215991e+06
0.13637705        	6.9034167077e+06
0.13662609        	6.9034350815e+06
0.13687455        	6.9034752329e+06
0.13712237        	6.9035346611e+06
0.13736955        	6.9036097149e+06
0.1376161         	6.9036954664e+06
0.13786206        	6.9037857066e+06
0.13810753        	6.9038731276e+06
0.13835264        	6.9039496844e+06
0.13859754        	6.9040071377e+06
0.13884238        	6.9040376451e+06
0.13908732        	6.9040344259e+06
0.13933249        	6.9039923862e+06
0.139578          	6.9039085920e+06
0.13982393        	6.9037826269e+06
0.14007032        	6.9036166908e+06
0.14031719        	6.9034155115e+06
0.14056451        	6.9031861043e+06
0.14081224        	6.9029373212e+06
0.14106032        	6.9026792593e+06
0.14130865        	6.9024226001e+06
0.14155714        	6.9021778840e+06
0.14180567        	6.9019549790e+06
0.14205417        	6.9017623358e+06
0.14230253        	6.9016067715e+06
0.14255067        	6.9014930126e+06
0.14279851        	6.9014235946e+06
0.14304597        	6.9013987953e+06
0.14329301        	6.9014166881e+06
0.14353957        	6.9014733081e+06
0.14378564        	6.9015629009e+06
0.14403122        	6.9016782460e+06
0.14427634        	6.9018110389e+06
0.14452109        	6.9019523198e+06
0.14476556        	6.9020929221e+06
0.1450099         	6.9022239522e+06
0.14525424        	6.9023372528e+06
0.14549872        	6.9024258428e+06
0.14574347        	6.9024843269e+06
0.14598859        	6.9025092437e+06
0.14623417        	6.9024992158e+06
0.14648024        	6.9024549911e+06
0.14672681        	6.9023792922e+06
0.14697389        	6.9022765009e+06
0.14722142        	6.9021522427e+06
0.14746934        	6.9020129033e+06
0.14771759        	6.9018651598e+06
0.14796606        	6.9017156473e+06
0.14821464        	6.9015705858e+06
0.14846324        	6.9014356280e+06
0.14871173        	6.9013156770e+06
0.14896003        	6.9012146974e+06
0.14920803        	6.9011356438e+06
0.14945567        	6.9010802923e+06
0.14970286        	6.9010490944e+06
0.14994956        	6.9010410916e+06
0.15019573        	6.9010538998e+06
0.15044136        	6.9010837699e+06
0.15068647        	6.9011257702e+06
0.15093112        	6.9011740341e+06
0.15117538        	6.9012220983e+06
0.15141937        	6.9012632609e+06
0.15166322        	6.9012910106e+06
0.15190705        	6.9012994989e+06
0.152151          	6.9012839995e+06
0.15239516        	6.9012412915e+06
0.15263961        	6.9011699548e+06
0.1528844         	6.9010705056e+06
0.15312957        	6.9009453417e+06
0.15337511        	6.9007985323e+06
0.153621          	6.9006354189e+06
0.1538672         	6.9004621386e+06
0.15411366        	6.9002851025e+06
0.15436029        	6.9001105747e+06
0.15460702        	6.8999443451e+06
0.15485376        	6.8997915586e+06
0.15510041        	6.8996566029e+06
0.15534689        	6.8995430144e+06
0.1555931         	6.8994534938e+06
0.15583898        	6.8993898473e+06
0.15608446        	6.8993529082e+06
0.15632948        	6.8993424479e+06
0.15657401        	6.8993570813e+06
0.15681804        	6.8993942113e+06
0.15706156        	6.8994500671e+06
0.15730463        	6.8995198628e+06
0.15754731        	6.8995980508e+06
0.15778968        	6.8996786523e+06
0.15803187        	6.8997556343e+06
0.15827397        	6.8998233074e+06
0.15851613        	6.8998767515e+06
0.15875844        	6.8999121377e+06
0.159001          	6.8999270575e+06
0.15924385        	6.8999206702e+06
0.15948704        	6.8998937544e+06
0.15973058        	6.8998485881e+06
0.15997446        	6.8997886844e+06
0.16021864        	6.8997184117e+06
0.1604631         	6.8996425726e+06
0.16070778        	6.8995659995e+06
0.1609526         	6.8994932328e+06
0.16119748        	6.8994283177e+06
0.16144235        	6.8993747072e+06
0.16168711        	6.8993352542e+06
0.16193168        	6.8993122009e+06
0.16217598        	6.8993071877e+06
0.16241995        	6.8993211823e+06
0.16266352        	6.8993543759e+06
0.16290666        	6.8994060738e+06
0.16314933        	6.8994746163e+06
0.16339153        	6.8995573413e+06
0.16363328        	6.8996506331e+06
0.16387464        	6.8997500674e+06
0.16411567        	6.8998506486e+06
0.16435647        	6.8999471028e+06
0.16459714        	6.9000342029e+06
0.16483782        	6.9001071311e+06
0.16507858        	6.9001618104e+06
0.16531955        	6.9001951936e+06
0.16556078        	6.9002054880e+06
0.16580236        	6.9001922849e+06
0.16604429        	6.9001566182e+06
0.1662866         	6.9001008730e+06
0.16652927        	6.9000285618e+06
0.16677228        	6.8999440306e+06
0.16701559        	6.8998521095e+06
0.16725914        	6.8997577949e+06
0.16750288        	6.8996659772e+06
0.16774675        	6.8995812703e+06
0.16799063        	6.8995078693e+06
0.1682345         	6.8994494843e+06
0.16847825        	6.8994092375e+06
0.16872181        	6.8993896050e+06
0.16896512        	6.8993922724e+06
0.16920811        	6.8994179831e+06
