# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.5444660776e+02	1.1139428390e+04	2.8195751771e+03
0.2               	wall	1.5715414113e+02	9.3500240909e+03	1.6693696177e+03
0.3               	wall	1.5475788019e+02	1.1038928948e+04	2.3289128841e+03
0.4               	wall	9.2995990980e+01	1.0221695416e+04	1.8598539381e+03
0.5               	wall	6.5606625253e+01	3.9748004619e+03	1.8445271529e+03
0.6               	wall	8.0805957382e+01	4.1730728510e+03	2.1426873733e+03
0.7               	wall	6.6788107933e+01	3.2021887847e+03	1.5886760860e+03
0.8               	wall	7.6020704651e+01	4.2172559504e+03	2.0476815458e+03
0.9               	wall	7.3391741500e+01	3.2261989796e+03	1.7383563803e+03
1                 	wall	6.6319224001e+01	3.5709154655e+03	1.6401591017e+03
1.1               	wall	7.8567967291e+01	3.9167600928e+03	1.9743384813e+03
1.2               	wall	6.9538496353e+01	3.0703503830e+03	1.5812995331e+03
