# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	1.6075963503e+02	1.4318881160e+04	3.7542481419e+03
0.2               	wall	1.7946240365e+02	1.1765748400e+04	2.2363578408e+03
0.3               	wall	1.8122670088e+02	9.0399941150e+03	2.4186615536e+03
0.4               	wall	1.8783372257e+02	7.6502514195e+03	2.9389353928e+03
0.5               	wall	1.8355528108e+02	1.0138631079e+04	2.0214255015e+03
0.6               	wall	1.7656964498e+02	9.4608753650e+03	2.3141418583e+03
0.7               	wall	1.8917760492e+02	8.8861173258e+03	2.9558194305e+03
0.8               	wall	1.8353763178e+02	8.7636175162e+03	2.2068816970e+03
0.9               	wall	1.7244998180e+02	1.0339008491e+04	2.1130545468e+03
1                 	wall	1.8884966522e+02	1.0512011801e+04	2.8793857329e+03
1.1               	wall	1.8500298794e+02	7.5983611980e+03	2.4863238542e+03
1.2               	wall	1.7590576769e+02	1.0858963754e+04	2.0162136443e+03
