# Region type :   sampledSurface planeZ6
# Faces           : 676
# Area            : 8.2953449955e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0022358089      	0.0000000000e+00
0.012082188       	0.0000000000e+00
0.014746086       	0.0000000000e+00
0.016692635       	0.0000000000e+00
0.018747826       	0.0000000000e+00
0.021054233       	0.0000000000e+00
0.023353692       	0.0000000000e+00
0.025634213       	1.7786363250e-322
0.027942428       	4.3826129848e-301
0.030376467       	3.7008021200e-279
0.033407289       	3.6911885076e-251
0.038590147       	1.7105437861e-211
0.044344487       	1.6585749373e-191
0.050114102       	1.6867131540e-174
0.054238893       	6.5878378311e-166
0.057535219       	6.6577092686e-160
0.060569799       	2.5585234988e-154
0.063381043       	5.6110151936e-149
0.066125682       	8.3554417911e-144
0.068980163       	1.2104904263e-138
0.071931618       	1.6410738025e-133
0.075045893       	3.5983300455e-128
0.078503497       	2.3336831028e-122
0.082431885       	4.2877027361e-116
0.0869164         	2.4667652155e-109
0.091145429       	2.0241277597e-103
0.094631496       	5.7355501142e-99
0.097564602       	1.9977441383e-95
0.1002656         	3.3397789983e-92
0.10297949        	4.7393824778e-89
0.10600535        	1.0623996909e-85
0.10961625        	6.9484007958e-82
0.11320654        	1.6326098523e-78
0.11615337        	3.6231183924e-76
0.11881395        	2.3693268039e-74
0.121523          	9.8533701570e-73
0.12449685        	3.6035559077e-71
0.12765088        	9.6502483909e-70
0.13066107        	1.4351625779e-68
0.13343826        	1.3335356384e-67
0.13614965        	1.0225577151e-66
0.13903638        	8.2652313866e-66
0.14236144        	8.5952586839e-65
0.14609656        	1.0613442413e-63
0.149685          	1.0054621807e-62
0.15292848        	6.7862943249e-62
0.15602748        	3.7423262139e-61
0.15914454        	1.9228693254e-60
0.16228155        	9.7361022108e-60
0.16535775        	4.8019478670e-59
0.16837532        	2.3299610837e-58
0.17148794        	1.2309041463e-57
0.17493985        	8.2712159604e-57
0.17883285        	7.5138374070e-56
0.18260823        	6.4267763107e-55
0.18586942        	3.9965354618e-54
0.18882097        	2.1519657953e-53
0.19173429        	1.2544414195e-52
0.19474646        	9.2442743044e-52
0.19783678        	9.1499798025e-51
0.20091509        	1.1763900873e-49
0.20394401        	1.8772394692e-48
0.20701087        	3.9016701089e-47
0.21018521        	1.0745691884e-45
0.21340889        	3.3005568172e-44
0.21653156        	8.5215538346e-43
0.21947405        	1.6544913249e-41
0.22227467        	2.5525384174e-40
0.22501304        	3.5131282151e-39
0.2277565         	4.9557328109e-38
0.23053431        	8.4780841398e-37
0.23334261        	1.9941923885e-35
0.23617753        	5.9954103394e-34
0.23906052        	1.9820484527e-32
0.24203031        	6.7347423483e-31
0.24509049        	2.2163928914e-29
0.24815198        	6.2004362569e-28
0.25108625        	1.2892023801e-26
0.25384821        	1.9554868010e-25
0.25648678        	2.3337740383e-24
0.25908858        	2.4032856939e-23
0.26173943        	2.2961541366e-22
0.26449889        	2.1174514321e-21
0.26737879        	1.8558238129e-20
0.2703447         	1.4609489298e-19
0.27335765        	9.8095129413e-19
0.27640756        	5.4993414463e-18
0.2794861         	2.5501618413e-17
0.28255035        	9.6539037537e-17
0.28556246        	3.0080452725e-16
0.28852388        	7.9897106043e-16
0.29147834        	1.8960374261e-15
0.29449273        	4.2044968925e-15
0.297601          	8.9621250606e-15
0.30081567        	1.8671338613e-14
0.30413486        	3.8302582252e-14
