time,H2_mean_area,H2_std_area,H2_CoV_area,H2_Is_area,H2_mean_mass,H2_std_mass,H2_CoV_mass,H2_Is_mass,H2_mean_vol,H2_std_vol,H2_CoV_vol,H2_Is_vol,p_main_inlet_area,p_main_inlet_mass,p_main_inlet_vol,p_rgh_main_inlet_area,p_rgh_main_inlet_mass,p_rgh_main_inlet_vol,p_total_main_inlet_area,p_total_main_inlet_mass,p_total_main_inlet_vol,p_rgh_total_main_inlet_area,p_rgh_total_main_inlet_mass,p_rgh_total_main_inlet_vol,p_outlet_area,p_outlet_mass,p_outlet_vol,p_rgh_outlet_area,p_rgh_outlet_mass,p_rgh_outlet_vol,p_total_outlet_area,p_total_outlet_mass,p_total_outlet_vol,p_rgh_total_outlet_area,p_rgh_total_outlet_mass,p_rgh_total_outlet_vol,dP_p_area,dP_p_mass,dP_p_vol,dP_p_rgh_area,dP_p_rgh_mass,dP_p_rgh_vol,dP_p_total_area,dP_p_total_mass,dP_p_total_vol,dP_p_rgh_total_area,dP_p_rgh_total_mass,dP_p_rgh_total_vol,mdot_main_inlet,mdot_branch_inlet,mdot_outlet,mdot_balance_err,mdot_balance_pct
1.2,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,6910728.8,6910729.3,6910729.3,6910728.8,6910729.3,6910729.3,6912535.7,6912583.6,6912583.6,6912535.7,6912583.6,6912583.6,6900000,6900000,6900000,6900000,6899998.7,6899998.7,6901101.2,6901117.4,6901117.4,6901101.2,6901116.1,6901116.1,10728.802,10729.317,10729.317,10728.802,10730.615,10730.615,11434.471,11466.239,11466.238,11434.471,11467.537,11467.537,-33.696942,-25.989463,26.35866,-33.327745,-126.43945
AVG,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,6910728.8,6910729.3,6910729.3,6910728.8,6910729.3,6910729.3,6912535.7,6912583.6,6912583.6,6912535.7,6912583.6,6912583.6,6900000,6900000,6900000,6900000,6899998.7,6899998.7,6901101.2,6901117.4,6901117.4,6901101.2,6901116.1,6901116.1,10728.802,10729.317,10729.317,10728.802,10730.615,10730.615,11434.471,11466.239,11466.238,11434.471,11467.537,11467.537,-33.696942,-25.989463,26.35866,-33.327745,-126.43945
