# Region type :   sampledSurface planeZ4
# Faces           : 988
# Area            : 8.2953449955e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0022358089      	0.0000000000e+00
0.013481828       	0.0000000000e+00
0.018188318       	4.8389396840e-231
0.023987194       	4.1045758809e-162
0.031619764       	5.1014757291e-126
0.042726225       	1.1785135008e-106
0.051404691       	7.7503719842e-97
0.058060263       	3.6760312933e-89
0.064115415       	3.6356148708e-82
0.071756686       	4.2477912024e-73
0.081709396       	1.3161729365e-63
0.091835041       	1.0620759158e-56
0.10036765        	2.5162059603e-52
0.10740524        	1.8249505809e-49
0.11547315        	1.3204803235e-46
0.12439801        	1.6404810827e-43
0.13383255        	3.2297262351e-40
0.14292611        	1.9456136241e-37
0.15325337        	5.2946811262e-35
0.16327653        	4.3909695189e-33
0.17225948        	1.7464771469e-31
0.18182505        	7.8783017299e-30
0.19336724        	1.0646058272e-27
0.20395775        	2.1361675707e-25
0.21278253        	2.4622224783e-23
0.22072234        	1.6992233211e-21
0.22806595        	1.0708260342e-19
0.23480425        	6.5307624524e-18
0.24107632        	2.8738960265e-16
0.24705583        	8.3729206803e-15
0.25294147        	1.6307815129e-13
0.25890131        	2.3503470168e-12
0.26507626        	2.7723891138e-11
0.27166115        	2.8496985913e-10
0.27887759        	2.5869917278e-09
0.2866386         	1.9143306904e-08
0.29449825        	1.0595052875e-07
0.30248125        	4.6455256210e-07
0.31115485        	1.7644522092e-06
0.32068248        	5.7393510035e-06
0.32950824        	1.4202893730e-05
0.33796093        	3.1257094703e-05
0.34738772        	7.3583474184e-05
0.35657175        	1.7285677548e-04
0.36471128        	3.7513827745e-04
0.37227694        	7.4953554775e-04
0.37960453        	1.3647276622e-03
0.38670941        	2.2267144502e-03
0.39355016        	3.2538739280e-03
0.4               	4.2560394605e-03
0.40613797        	5.0231232404e-03
0.41210424        	5.4377162656e-03
0.41807457        	5.5039098874e-03
0.42420217        	5.3048750155e-03
0.43061438        	4.9800704449e-03
0.43743328        	4.6902288497e-03
0.44472921        	4.5695818754e-03
0.45246174        	4.6861441677e-03
0.46052188        	5.0387635845e-03
0.46898904        	5.5938083475e-03
0.47823248        	6.3124730461e-03
0.48715046        	7.0271243279e-03
0.49571682        	7.7142178982e-03
0.50440396        	8.4777946352e-03
0.51399175        	9.5517780996e-03
0.52312309        	1.1047815058e-02
0.53149904        	1.3043633077e-02
0.53937816        	1.5469198693e-02
0.54691016        	1.7903064121e-02
0.5540875         	1.9645784479e-02
0.56088416        	2.0168061746e-02
0.56733474        	1.9446610688e-02
0.57355502        	1.7904548923e-02
0.57970502        	1.6044205884e-02
0.58593883        	1.4192003623e-02
0.59240484        	1.2521559541e-02
0.59900933        	1.1179624567e-02
0.60613777        	1.0180743508e-02
0.6137497         	9.5922701356e-03
0.62175329        	9.4005371080e-03
0.63025218        	9.5328621877e-03
0.63943872        	9.9078911556e-03
0.64836968        	1.0384357701e-02
0.6569318         	1.0897430328e-02
0.66567409        	1.1509099979e-02
0.67521365        	1.2390571025e-02
0.68447723        	1.3659870423e-02
0.69300032        	1.5404492090e-02
0.70117186        	1.7760791417e-02
0.7087562         	2.0492879202e-02
0.71597725        	2.3122025048e-02
0.72284564        	2.4834878190e-02
0.72940358        	2.5075880990e-02
0.73576468        	2.3895504017e-02
0.74206566        	2.1716167431e-02
0.74844343        	1.9000944813e-02
0.75501305        	1.6162515695e-02
0.76189173        	1.3548345096e-02
0.76914421        	1.1436474136e-02
0.77680526        	9.9776782567e-03
0.78487376        	9.1799194758e-03
0.79346397        	8.9438287742e-03
0.80276059        	9.1381780610e-03
0.81168523        	9.5656626805e-03
0.82043452        	1.0116037798e-02
0.82950872        	1.0819656549e-02
0.8390808         	1.1798085423e-02
0.84809251        	1.3104444140e-02
0.85645566        	1.4819419535e-02
0.86432653        	1.6985324396e-02
0.87181353        	1.9487280329e-02
0.87895456        	2.1901118871e-02
0.8857923         	2.3554249537e-02
0.89240053        	2.3930426782e-02
0.89900877        	2.2967665621e-02
0.90548223        	2.1035192147e-02
0.9120402         	1.8564414595e-02
0.91881853        	1.5962168507e-02
0.92591207        	1.3584194940e-02
0.9333851         	1.1685177215e-02
0.94126798        	1.0383913243e-02
0.9496447         	9.6694413901e-03
0.95866209        	9.4638844408e-03
0.96784715        	9.6445193776e-03
0.97678784        	1.0053149595e-02
0.98581603        	1.0638462088e-02
0.99525507        	1.1461821817e-02
1.0045242         	1.2593381654e-02
1.0130949         	1.4068759540e-02
1.0211443         	1.5942735834e-02
1.0287994         	1.8176458804e-02
1.0361051         	2.0524994884e-02
1.0431167         	2.2499111354e-02
1.0498788         	2.3540290685e-02
1.0564871         	2.3383613751e-02
1.0630304         	2.2148565077e-02
1.0696525         	2.0151695816e-02
1.0764313         	1.7779465604e-02
1.0834729         	1.5395975415e-02
1.0908343         	1.3308037711e-02
1.0984724         	1.1717268357e-02
1.1065839         	1.0651329078e-02
1.1153188         	1.0094004142e-02
1.1245654         	9.9932108085e-03
1.133703          	1.0230462027e-02
1.1428261         	1.0705709727e-02
1.1522646         	1.1428916059e-02
1.1615201         	1.2430437118e-02
1.1702122         	1.3745717505e-02
1.1783989         	1.5411104819e-02
1.1861849         	1.7397318647e-02
1.1936626         	1.9542549837e-02
