# Region type :   patch main_inlet
# Faces           : 356
# Area            : 8.2961564767e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0022358089      	6.9449432343e+06
0.018736776       	6.9509065754e+06
0.026193873       	6.9579595594e+06
0.034673229       	6.9658681370e+06
0.044251971       	6.9639212309e+06
0.056831997       	6.9606359750e+06
0.069100493       	6.9524597987e+06
0.077153769       	6.9424947882e+06
0.083468857       	6.9218717460e+06
0.089518716       	6.8919960915e+06
0.096125869       	6.8676617592e+06
0.10381787        	6.8606763159e+06
0.11507549        	6.8499218644e+06
0.12866628        	6.8420307666e+06
0.14062631        	6.8420463661e+06
0.15187188        	6.8446529327e+06
0.16601049        	6.8706556089e+06
0.18021628        	6.9180819575e+06
0.19604246        	6.9453385803e+06
0.20836276        	6.9558890537e+06
0.220753          	6.9579023356e+06
0.23342597        	6.9569115823e+06
0.24380284        	6.9486571079e+06
0.25235965        	6.9315824333e+06
0.26046783        	6.9092371928e+06
0.26908242        	6.8860710920e+06
0.27875709        	6.8670103539e+06
0.28926113        	6.8546201436e+06
0.3               	6.8493242619e+06
0.31199403        	6.8473145291e+06
0.32737674        	6.8518848490e+06
0.34408787        	6.8833067505e+06
0.36109665        	6.9244042412e+06
0.37892936        	6.9457088990e+06
0.39283428        	6.9514486993e+06
0.40525186        	6.9521932267e+06
0.4162864         	6.9446228617e+06
0.4265707         	6.9282383570e+06
0.43634648        	6.9071161470e+06
0.44585633        	6.8865377587e+06
0.4556173         	6.8703214502e+06
0.46530564        	6.8600000100e+06
0.47439729        	6.8547821406e+06
0.48331217        	6.8530067156e+06
0.4925348         	6.8543701809e+06
0.50262111        	6.8624707770e+06
0.51400692        	6.8807389994e+06
0.52609397        	6.9054203863e+06
0.53690189        	6.9247024088e+06
0.54612927        	6.9360267994e+06
0.55411019        	6.9422899941e+06
0.56133388        	6.9457657805e+06
0.5680475         	6.9472992204e+06
0.57433919        	6.9467961461e+06
0.58029574        	6.9439627564e+06
0.58597626        	6.9388100991e+06
0.59141541        	6.9316870187e+06
0.59678078        	6.9229532148e+06
0.60208333        	6.9132304173e+06
0.60732527        	6.9032145381e+06
0.61268074        	6.8932619532e+06
0.61820089        	6.8839000878e+06
0.62392554        	6.8756724437e+06
0.62989676        	6.8688284635e+06
0.63616642        	6.8633478969e+06
0.64280409        	6.8591306141e+06
0.64991289        	6.8564206683e+06
0.65768965        	6.8563152658e+06
0.66640085        	6.8611151973e+06
0.67629528        	6.8732867448e+06
0.68716741        	6.8918807284e+06
0.69789223        	6.9104994709e+06
0.70750851        	6.9242855915e+06
0.71589594        	6.9333317571e+06
0.72342354        	6.9392664522e+06
0.73030675        	6.9428625957e+06
0.73671413        	6.9442531361e+06
0.74275775        	6.9432597050e+06
0.74852185        	6.9398615453e+06
0.75406477        	6.9343346455e+06
0.75945251        	6.9271813210e+06
0.76475906        	6.9189869725e+06
0.77005845        	6.9102809651e+06
0.7754203         	6.9014715828e+06
0.78090037        	6.8929376779e+06
0.78651717        	6.8850461801e+06
0.7922928         	6.8779246221e+06
0.79822141        	6.8715854921e+06
0.80442203        	6.8660344673e+06
0.81105251        	6.8616248935e+06
0.81817092        	6.8591794255e+06
0.82597697        	6.8602890567e+06
0.83469244        	6.8665264803e+06
0.84432793        	6.8785187345e+06
0.85441186        	6.8938611097e+06
0.86420233        	6.9084419112e+06
0.87321768        	6.9202509499e+06
0.88137289        	6.9292278526e+06
0.88882221        	6.9356349478e+06
0.89566994        	6.9394049751e+06
0.90219427        	6.9405172355e+06
0.90823632        	6.9390547915e+06
0.91401142        	6.9353922960e+06
0.91959744        	6.9299819223e+06
0.92507187        	6.9233678421e+06
0.93050329        	6.9159970578e+06
0.93595684        	6.9082907436e+06
0.94147064        	6.9005981759e+06
0.94706775        	6.8931866187e+06
0.95277251        	6.8861674632e+06
0.9586363         	6.8795053529e+06
0.96472176        	6.8732748641e+06
0.97110342        	6.8679299887e+06
0.97788321        	6.8642321440e+06
0.98520947        	6.8633116543e+06
0.99327931        	6.8663989015e+06
1.0018287         	6.8737674867e+06
1.0112667         	6.8852362929e+06
1.0208371         	6.8980564707e+06
1.0300773         	6.9101018931e+06
1.0386891         	6.9202766096e+06
1.0465977         	6.9282231524e+06
1.0538661         	6.9335788386e+06
1.0606068         	6.9361561946e+06
1.0669296         	6.9360878832e+06
1.0729327         	6.9337404116e+06
1.0787136         	6.9295882490e+06
1.0843507         	6.9241276659e+06
1.0899397         	6.9177610516e+06
1.0955288         	6.9108725883e+06
1.1011228         	6.9038380251e+06
1.1067753         	6.8968941931e+06
1.1125144         	6.8901704490e+06
1.118384          	6.8837311269e+06
1.1244558         	6.8776712123e+06
1.1308071         	6.8723493664e+06
1.1375167         	6.8685800656e+06
1.1446892         	6.8672868467e+06
1.1524642         	6.8693245139e+06
1.1609037         	6.8750785326e+06
1.1698765         	6.8840527527e+06
1.1790048         	6.8948171378e+06
1.1879848         	6.9056326999e+06
1.1965769         	6.9153371576e+06
