# Region type :   patch outlet
# Faces           : 387
# Area            : 8.2961616953e-02
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0022358089      	1.9172059691e+01
0.01459902        	1.9159860378e+01
0.027345435       	2.0160188454e+01
0.04009185        	3.1240769087e+01
0.052838265       	4.9964266419e+01
0.06558468        	5.2008710718e+01
0.077728004       	5.3229911870e+01
0.088541421       	5.2771381946e+01
0.098958311       	5.2906987733e+01
0.10996189        	5.2850787495e+01
0.12253317        	4.6041889945e+01
0.13523265        	3.1612056195e+01
0.14793213        	2.3155997412e+01
0.16063161        	2.0555479876e+01
0.17333109        	2.0228998819e+01
0.18603057        	1.9903442961e+01
0.19873005        	2.1240857352e+01
0.21146497        	3.0157733261e+01
0.22420382        	4.2155564066e+01
0.23694268        	4.8936978634e+01
0.24968153        	5.1186440450e+01
0.26145704        	5.1688734237e+01
0.27256226        	5.2059010216e+01
0.28441672        	5.0522752848e+01
0.29688334        	4.3553021581e+01
0.30955414        	3.3481158394e+01
0.32229299        	2.5972641264e+01
0.33503185        	2.2578204757e+01
0.3477707         	2.1308301221e+01
0.36050955        	2.1054448979e+01
0.37324841        	2.4094290676e+01
0.38598726        	3.1768312827e+01
0.39872611        	4.0599821111e+01
0.41146497        	4.6708917783e+01
0.42420382        	4.9416616847e+01
0.43671796        	5.0349494791e+01
0.44896175        	4.9980410996e+01
0.46165802        	4.6479685734e+01
0.47443868        	3.9610643086e+01
0.48721934        	3.1854774186e+01
0.5               	2.6169581720e+01
0.51273885        	2.3390289514e+01
0.52547771        	2.2467202408e+01
0.53821656        	2.3693302912e+01
0.54947227        	2.7524083429e+01
0.55860746        	3.2474244616e+01
0.5677375         	3.8016287891e+01
0.57733472        	4.3215583966e+01
0.58629356        	4.6742253960e+01
0.59405438        	4.8716840746e+01
0.60142095        	4.9844821781e+01
0.60857638        	5.0381173274e+01
0.61610112        	5.0261755445e+01
0.62419353        	4.8989380200e+01
0.63289251        	4.6095718303e+01
0.64213661        	4.1539467846e+01
0.65207541        	3.5969437579e+01
0.66329656        	3.0429510323e+01
0.67593836        	2.6196689438e+01
0.68860238        	2.3929311340e+01
0.70127389        	2.3652947948e+01
0.71343564        	2.6064345015e+01
0.72411171        	3.0446029493e+01
0.73370981        	3.5437756468e+01
0.74275709        	4.0090235481e+01
0.75156735        	4.3874193391e+01
0.75983258        	4.6544923639e+01
0.7674235         	4.8305395484e+01
0.77483269        	4.9401452310e+01
0.78248438        	4.9784833606e+01
0.7905289         	4.9176432472e+01
0.79876464        	4.7314527286e+01
0.8074044         	4.3959566493e+01
0.81652637        	3.9406109060e+01
0.82654001        	3.4520440634e+01
0.83842832        	2.9962299966e+01
0.85112351        	2.6445745637e+01
0.8638187         	2.4512353276e+01
0.87651389        	2.5209457312e+01
0.88843306        	2.8618107275e+01
0.89895084        	3.3243041198e+01
0.9084219         	3.7740091739e+01
0.91726841        	4.1503190853e+01
0.92551617        	4.4356623855e+01
0.93319192        	4.6425377912e+01
0.94073036        	4.7865022787e+01
0.94851134        	4.8621262549e+01
0.95662599        	4.8458092987e+01
0.96502567        	4.7102103277e+01
0.9736839         	4.4334681134e+01
0.98265299        	4.0366667000e+01
0.99226635        	3.5921335256e+01
1.0029639         	3.1822847933e+01
1.0156163         	2.8196111354e+01
1.0283056         	2.5857326070e+01
1.0409949         	2.5722722083e+01
1.053101          	2.8217586941e+01
1.0635498         	3.2046702376e+01
1.0730899         	3.6089688992e+01
1.0820284         	3.9562114948e+01
1.0903934         	4.2172439649e+01
1.0983989         	4.4083650884e+01
1.1060771         	4.5351457982e+01
1.1138788         	4.5987321023e+01
1.1220334         	4.5808964466e+01
1.1305141         	4.4552114551e+01
1.139269          	4.2027711932e+01
1.1483268         	3.8450961876e+01
1.1579636         	3.4472847931e+01
1.1688648         	3.0769304230e+01
1.1815009         	2.7618114472e+01
1.1942589         	2.5583938622e+01
