# Region type :   patch main_inlet
# Faces           : 348
# Area            : 8.2964484169e-02
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0022328599      	-3.3866109633e+01
0.013770526       	-3.3888302971e+01
0.025290374       	-3.3934507942e+01
0.035768031       	-3.3938349473e+01
0.045976227       	-3.3923489915e+01
0.055798215       	-3.3930939560e+01
0.065487328       	-3.3935919560e+01
0.074536052       	-3.3890406700e+01
0.082450501       	-3.3765320371e+01
0.089782593       	-3.3587424094e+01
0.097080741       	-3.3467489543e+01
0.10468577        	-3.3431858524e+01
0.11341224        	-3.3403167643e+01
0.12350552        	-3.3392839360e+01
0.13487663        	-3.3389347013e+01
0.14671725        	-3.3368023840e+01
0.15855786        	-3.3415186694e+01
0.17039847        	-3.3601171184e+01
0.18223908        	-3.3789713416e+01
0.19407969        	-3.3865782019e+01
0.20591716        	-3.3897567105e+01
0.21775148        	-3.3912283712e+01
0.22947529        	-3.3930050085e+01
0.24009566        	-3.3903886736e+01
0.24932443        	-3.3813162257e+01
0.25754043        	-3.3696507598e+01
0.26540942        	-3.3590113851e+01
0.27346911        	-3.3512099037e+01
0.2821754         	-3.3460751389e+01
0.29172289        	-3.3428151492e+01
0.30212778        	-3.3406903138e+01
0.31311878        	-3.3390504488e+01
0.3248729         	-3.3413747334e+01
0.33670394        	-3.3518732132e+01
0.34853498        	-3.3669596448e+01
0.36036602        	-3.3787451839e+01
0.37219706        	-3.3846648898e+01
0.3840281         	-3.3879652472e+01
0.39585914        	-3.3904994603e+01
0.40733851        	-3.3891142715e+01
0.41728215        	-3.3828334664e+01
0.42601529        	-3.3741536064e+01
0.43385325        	-3.3655158207e+01
0.44078227        	-3.3585941800e+01
0.44686903        	-3.3537499029e+01
0.45247448        	-3.3504435593e+01
0.45796876        	-3.3481229171e+01
0.46353113        	-3.3463717578e+01
0.46925023        	-3.3448346409e+01
0.4752064         	-3.3433992544e+01
0.48155143        	-3.3424424154e+01
0.48859321        	-3.3429564661e+01
0.49691139        	-3.3465603836e+01
0.50720608        	-3.3549809566e+01
0.51902697        	-3.3664915077e+01
0.52997731        	-3.3752604222e+01
0.53843925        	-3.3798780139e+01
0.5456016         	-3.3826706464e+01
0.55226802        	-3.3848005912e+01
0.55881005        	-3.3865031950e+01
0.56523635        	-3.3873900950e+01
0.57126734        	-3.3869554597e+01
0.57668774        	-3.3851914362e+01
0.58165709        	-3.3824038093e+01
0.58648417        	-3.3788176669e+01
0.59134142        	-3.3746566916e+01
0.5963634         	-3.3701582983e+01
0.60158525        	-3.3656250487e+01
0.60694204        	-3.3613878446e+01
0.61235438        	-3.3576477106e+01
0.61781233        	-3.3543658283e+01
0.62333661        	-3.3515097564e+01
0.62895026        	-3.3489876401e+01
0.63470611        	-3.3467302283e+01
0.64071549        	-3.3448143833e+01
0.64720985        	-3.3436324672e+01
0.65458658        	-3.3440854997e+01
0.66353716        	-3.3478965158e+01
0.67471042        	-3.3562341893e+01
0.68647302        	-3.3656020994e+01
0.69707012        	-3.3726862832e+01
0.7058174         	-3.3775434451e+01
0.71327654        	-3.3811068453e+01
0.72015993        	-3.3837606321e+01
0.72664363        	-3.3853487346e+01
0.73271521        	-3.3856582585e+01
0.73837565        	-3.3847019850e+01
0.7437401         	-3.3826595569e+01
0.74900029        	-3.3797333784e+01
0.75429669        	-3.3761832803e+01
0.75970985        	-3.3723098872e+01
0.76521891        	-3.3684512690e+01
0.77073972        	-3.3648279976e+01
0.77622464        	-3.3614711369e+01
0.78163819        	-3.3583329585e+01
0.78703872        	-3.3552659904e+01
0.79243925        	-3.3522834708e+01
0.79802763        	-3.3494772745e+01
0.80385404        	-3.3471297070e+01
0.81020989        	-3.3456143247e+01
0.81737057        	-3.3456299966e+01
0.82577035        	-3.3481043147e+01
0.83573291        	-3.3537183547e+01
0.84665035        	-3.3610531096e+01
0.85695669        	-3.3676234898e+01
0.86602163        	-3.3730251585e+01
0.87406015        	-3.3775030734e+01
0.88132409        	-3.3809145568e+01
0.88795519        	-3.3830146956e+01
0.89404216        	-3.3837620805e+01
0.89971779        	-3.3833078887e+01
0.90517866        	-3.3818554556e+01
0.91059905        	-3.3795821093e+01
0.91610457        	-3.3766596392e+01
0.92171165        	-3.3733251717e+01
0.92733962        	-3.3699015697e+01
0.93289998        	-3.3665837813e+01
0.93836199        	-3.3633937628e+01
0.94375415        	-3.3602865209e+01
0.94912163        	-3.3572245324e+01
0.95455079        	-3.3542116854e+01
0.96015348        	-3.3514138265e+01
0.96605934        	-3.3491371237e+01
0.97243788        	-3.3477537501e+01
0.97953081        	-3.3477541619e+01
0.98759646        	-3.3497484457e+01
0.996708          	-3.3538986523e+01
1.006417          	-3.3594569259e+01
1.0161031         	-3.3652186812e+01
1.025101          	-3.3705016945e+01
1.0332627         	-3.3750512321e+01
1.040619          	-3.3785500648e+01
1.0472765         	-3.3807637476e+01
1.0533813         	-3.3816878700e+01
1.059111          	-3.3814995085e+01
1.0646626         	-3.3803960276e+01
1.070194          	-3.3785400198e+01
1.0757968         	-3.3760890856e+01
1.0814838         	-3.3732287164e+01
1.087175          	-3.3701927363e+01
1.0927511         	-3.3671634703e+01
1.0983272         	-3.3641066763e+01
1.1037866         	-3.3611031932e+01
1.1092083         	-3.3581639275e+01
1.1147132         	-3.3553351850e+01
1.1204025         	-3.3527707834e+01
1.1263993         	-3.3507625949e+01
1.1328427         	-3.3496303204e+01
1.1399001         	-3.3497489927e+01
1.1477111         	-3.3514744455e+01
1.1562841         	-3.3548049445e+01
1.1653395         	-3.3592919144e+01
1.1744108         	-3.3641904746e+01
1.183088          	-3.3689739966e+01
1.1911384         	-3.3732328207e+01
1.1985445         	-3.3765958352e+01
