# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	2.1400667931e+02	1.1942088863e+04	3.1805082483e+03
0.2               	wall	2.0814368331e+02	1.2058838357e+04	2.0656250227e+03
0.3               	wall	2.0885315780e+02	1.4152211736e+04	2.2156192511e+03
0.4               	wall	2.1659945844e+02	1.1030653567e+04	2.7316015546e+03
0.5               	wall	2.0781437333e+02	1.4458268422e+04	1.9135664511e+03
0.6               	wall	2.1003113734e+02	1.3528640127e+04	2.2370344576e+03
0.7               	wall	2.1564672289e+02	1.0940214389e+04	2.6422413112e+03
0.8               	wall	2.0859654924e+02	1.4428584131e+04	1.9633327030e+03
0.9               	wall	2.0972103221e+02	1.3339423056e+04	2.1896121300e+03
1                 	wall	2.1512998030e+02	1.1206338606e+04	2.6169456346e+03
1.1               	wall	2.0939693866e+02	1.4171000359e+04	2.0133861390e+03
1.2               	wall	2.0944483136e+02	1.3200470277e+04	2.1348024810e+03
