# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	7.9022081333e+01	1.1657119457e+04	2.7144785190e+03
0.2               	wall	3.4461474127e+01	1.1787168722e+04	1.7138782635e+03
0.3               	wall	4.7377653062e+01	4.3738589196e+03	2.0463047287e+03
0.4               	wall	5.5038730534e+01	4.3283700946e+03	2.1070860389e+03
0.5               	wall	4.3327641127e+01	3.6477207424e+03	1.5754712085e+03
0.6               	wall	5.2910365002e+01	3.7279805468e+03	2.1947218012e+03
0.7               	wall	5.3725677783e+01	3.7998375032e+03	1.7399186658e+03
0.8               	wall	4.8091185634e+01	3.3597972902e+03	1.7433512462e+03
0.9               	wall	5.4895864064e+01	4.2575900936e+03	2.1362597086e+03
1                 	wall	4.9787816820e+01	3.5747224648e+03	1.6277305641e+03
1.1               	wall	5.1712640326e+01	3.3337017963e+03	1.9091325049e+03
1.2               	wall	5.5336071762e+01	4.3223164114e+03	1.9831358263e+03
