# Region type :   sampledSurface planeZ3
# Faces           : 1018
# Area            : 8.2958402172e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.002159518       	0.0000000000e+00
0.0097094453      	4.3525550299e-313
0.017263576       	9.9503906031e-187
0.024819414       	1.6478747341e-121
0.032375252       	4.1751832654e-97
0.03993109        	6.2250757980e-83
0.047486927       	4.6425637539e-72
0.055042765       	7.5259054460e-64
0.062598603       	1.3524956974e-57
0.070154441       	1.7172651123e-52
0.077710279       	3.1473979247e-47
0.085266116       	8.6650348872e-41
0.092821954       	3.3812420014e-35
0.10037736        	5.4161706521e-31
0.10792453        	5.0487734086e-28
0.1154717         	8.5818916227e-26
0.12301887        	7.5182742810e-24
0.13056604        	6.2305780829e-22
0.13811321        	4.6258563501e-20
0.14566038        	1.8815567393e-18
0.15320755        	3.9000667640e-17
0.16075472        	5.4879522631e-16
0.16830189        	6.5356156048e-15
0.17584906        	7.2540383655e-14
0.18339623        	9.0349845715e-13
0.1909434         	1.3719260899e-11
0.19849057        	2.1508175246e-10
0.20555571        	2.8887407796e-09
0.21191137        	2.9604493113e-08
0.21806441        	2.3516255916e-07
0.22396187        	1.4578745861e-06
0.22939783        	7.7326692874e-06
0.23430923        	3.7432117562e-05
0.23884173        	1.5729771500e-04
0.24320954        	5.3947557060e-04
0.24761456        	1.4691487942e-03
0.25219901        	3.0501845910e-03
0.25704062        	4.7447960578e-03
0.26223329        	5.8850705600e-03
0.26804623        	6.8933691499e-03
0.27487734        	9.0886057976e-03
0.2824821         	1.3671838251e-02
0.29009858        	2.1074271551e-02
0.29771506        	2.9816824990e-02
0.30528302        	3.2353432165e-02
0.31283019        	2.8499334683e-02
0.32037736        	2.3948238254e-02
0.32792453        	2.0210759404e-02
0.3354717         	1.6403810227e-02
0.34301887        	1.1879416702e-02
0.35056604        	7.4501369360e-03
0.35745951        	5.0302373896e-03
0.3632744         	4.3953045117e-03
0.36895392        	4.6117013765e-03
0.3746821         	5.3513950432e-03
0.38037974        	6.5792908988e-03
0.38589242        	8.6172178154e-03
0.39110984        	1.2447133200e-02
0.39606293        	2.0133598137e-02
0.40093023        	3.2752189266e-02
0.40555146        	4.4758158641e-02
0.41021252        	5.2636814209e-02
0.41502152        	5.9275542026e-02
0.42007819        	6.5057179269e-02
0.42548063        	5.5381662236e-02
0.43133088        	3.9338211590e-02
0.43773959        	2.7669977714e-02
0.4446575         	2.1490975704e-02
0.45185791        	1.8488728185e-02
0.45923189        	1.6116048531e-02
0.46678154        	1.3546247487e-02
0.47433119        	1.1372106152e-02
0.48188084        	9.8013706669e-03
0.48943049        	8.6721297378e-03
0.49698014        	7.7850931322e-03
0.5045283         	7.0572894567e-03
0.51207547        	6.5359926903e-03
0.51920192        	6.1276313397e-03
0.52533635        	5.8318391947e-03
0.53124465        	5.6796919625e-03
0.53708385        	5.7452174127e-03
0.54277123        	6.1543452444e-03
0.54820277        	7.2469295410e-03
0.55335337        	1.0010789227e-02
0.55826845        	1.6724178190e-02
0.56305169        	2.9062442129e-02
0.56782098        	4.2827363669e-02
0.57265918        	5.4370740550e-02
0.57765237        	6.6683300289e-02
0.58288883        	6.7416551073e-02
0.58844087        	5.2753454301e-02
0.5943323         	3.7545358187e-02
0.60064725        	2.7091797554e-02
0.60729742        	2.1164174861e-02
0.61423314        	1.7529346749e-02
0.62157455        	1.4457196756e-02
0.62915189        	1.1844201267e-02
0.63672923        	9.9377961379e-03
0.64430657        	8.5693263312e-03
0.6518839         	7.5551783360e-03
0.65946124        	6.7832065373e-03
0.66703858        	6.2309762763e-03
0.67461592        	5.8822605348e-03
0.68158652        	5.6756010249e-03
