# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	8.8334778995e+01	1.2160117806e+04	2.7913212989e+03
0.2               	wall	5.1140678762e+01	1.1972893294e+04	1.6958603069e+03
0.3               	wall	5.0164526835e+01	1.2620869271e+04	2.2627842280e+03
0.4               	wall	6.7023257007e+01	9.4751773470e+03	1.8747069692e+03
0.5               	wall	2.9571075937e+01	3.3015689003e+03	1.7249993546e+03
0.6               	wall	4.8953638901e+01	5.7462136187e+03	2.1516521978e+03
0.7               	wall	2.3411647846e+01	3.4979324711e+03	1.5405560907e+03
0.8               	wall	3.7808490502e+01	3.7425537501e+03	1.9935626019e+03
0.9               	wall	3.1021947947e+01	4.7709601627e+03	1.7700685984e+03
1                 	wall	2.7811418931e+01	3.0020914078e+03	1.5653470909e+03
1.1               	wall	4.0929819237e+01	3.9756279341e+03	1.9694433067e+03
1.2               	wall	2.5451392585e+01	2.9175785502e+03	1.5907242931e+03
