# Region type :   sampledSurface planeZ4
# Faces           : 966
# Area            : 8.2959467463e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0021681777      	0.0000000000e+00
0.0098950663      	0.0000000000e+00
0.017629395       	3.1686573890e-287
0.025363724       	1.9148468685e-218
0.033098053       	6.3817180169e-184
0.040832383       	8.1572752510e-164
0.048566712       	1.7561086216e-148
0.056301041       	2.1040058070e-135
0.06403537        	3.5251142345e-123
0.071769699       	4.0887954248e-112
0.079428334       	7.1765058761e-103
0.086939267       	5.1806410343e-95
0.094622051       	7.3378513387e-88
0.10232558        	1.2265348069e-81
0.11007752        	1.5814111095e-76
0.11782946        	2.2776959114e-72
0.1255814         	1.2230907289e-68
0.13333333        	3.7532343963e-65
0.14108527        	4.2608494601e-62
0.14883721        	1.3738071958e-59
0.15658915        	1.7319236887e-57
0.16434109        	1.3161180031e-55
0.17209302        	6.8515601713e-54
0.17984496        	3.1807995320e-52
0.1875969         	2.1851481032e-50
0.19534884        	3.0608286762e-48
0.20310078        	7.2216335937e-46
0.21085271        	2.0303258601e-43
0.21860465        	7.1054899654e-41
0.22635659        	4.0553547304e-38
0.23410853        	3.4284132864e-35
0.24186047        	2.3787103089e-32
0.2496124         	1.1268395120e-29
0.25736434        	3.3149265789e-27
0.26511628        	4.6952545030e-25
0.27286822        	2.8989404369e-23
0.28062016        	9.4629987757e-22
0.28837209        	2.2693169142e-20
0.29612403        	4.3638507916e-19
0.30387597        	5.7225562234e-18
0.31162791        	4.8350183857e-17
0.31937984        	2.7214914816e-16
0.32713178        	1.1370262066e-15
0.33488372        	3.9184831097e-15
0.34263566        	1.2336076913e-14
0.3503876         	4.0468391207e-14
0.35788617        	1.4826689212e-13
0.3644252         	5.4423715508e-13
0.37122571        	2.5338872397e-12
0.37876428        	1.6193162851e-11
0.3859473         	9.8270651962e-11
0.39232858        	4.8194474614e-10
0.39803297        	1.9629149846e-09
0.4033449         	7.2170064275e-09
0.40833211        	2.4545691271e-08
0.4132434         	8.3778708285e-08
0.41827504        	2.9884772481e-07
0.42361946        	1.1133660132e-06
0.42937066        	4.1260240324e-06
0.43541406        	1.4014580948e-05
0.44171094        	4.2549630582e-05
0.4482519         	1.1618713625e-04
0.45496725        	2.8616420307e-04
0.46185956        	6.3776058409e-04
0.46915788        	1.2959591226e-03
0.47686841        	2.3376104357e-03
0.48457894        	3.6466562297e-03
0.49228947        	5.0986216301e-03
0.5               	6.6284252541e-03
0.50775194        	8.2841508301e-03
0.51550388        	1.0203689878e-02
0.52325581        	1.2571026849e-02
0.53100775        	1.5519700823e-02
0.53875969        	1.8955214222e-02
0.5463935         	2.2475957586e-02
0.55319326        	2.5710128618e-02
0.55912692        	2.9350301954e-02
0.56459034        	3.4549715120e-02
0.56977847        	4.1201610833e-02
0.57499873        	4.6653750192e-02
0.58045502        	4.7111084997e-02
0.58623229        	4.1578882287e-02
0.59221825        	3.2616254424e-02
0.59820421        	2.3828430272e-02
0.6041817         	1.7164241120e-02
0.61015464        	1.2921061517e-02
