# Region type :   sampledSurface planeZ3p
# Faces           : 1069
# Area            : 8.2953558042e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0021697718      	6.8999888241e+06
0.0091179012      	6.9000657579e+06
0.013919112       	6.9073848814e+06
0.015810148       	6.9207990720e+06
0.017375818       	6.9396321660e+06
0.019030437       	6.9622621182e+06
0.020809876       	6.9772225902e+06
0.022595892       	6.9780285313e+06
0.024365299       	6.9741850625e+06
0.026128117       	6.9730631273e+06
0.027879619       	6.9734709489e+06
0.029606043       	6.9735562288e+06
0.031295084       	6.9738315560e+06
0.033010499       	6.9745954913e+06
0.035044437       	6.9757421418e+06
0.038105406       	6.9730285821e+06
0.042034961       	6.9736465512e+06
0.046835712       	6.9952365022e+06
0.052998697       	6.9906498013e+06
0.056826631       	6.9883941362e+06
0.059934276       	6.9804822452e+06
0.062498854       	6.9630261754e+06
0.064746852       	6.9431183473e+06
0.06690706        	6.9251834868e+06
0.069050935       	6.9133814536e+06
0.071185748       	6.9092874689e+06
0.073356203       	6.9092602761e+06
0.075676314       	6.9080969603e+06
0.078209235       	6.9047278418e+06
0.081088445       	6.9024202095e+06
0.084643593       	6.9041410641e+06
0.088048852       	6.9023045373e+06
0.090674241       	6.8970500983e+06
0.092912645       	6.8909528522e+06
0.094865064       	6.8847435198e+06
0.096644201       	6.8783497666e+06
0.098365124       	6.8708334089e+06
0.10009132        	6.8616144528e+06
0.10203141        	6.8498978104e+06
0.10434406        	6.8365376147e+06
0.10727219        	6.8254038473e+06
0.11054604        	6.8215042158e+06
0.11341127        	6.8237716405e+06
0.11587981        	6.8287576495e+06
0.11821951        	6.8340705591e+06
0.12062273        	6.8380172876e+06
0.1231888         	6.8388384516e+06
0.12585223        	6.8355445470e+06
0.12842716        	6.8300343662e+06
0.13081845        	6.8253200051e+06
0.13305684        	6.8219854053e+06
0.13522919        	6.8196153865e+06
0.13743857        	6.8190340190e+06
0.13980402        	6.8227464256e+06
0.14246228        	6.8337398368e+06
0.14547918        	6.8516281934e+06
0.14866286        	6.8692929716e+06
0.15170154        	6.8813560765e+06
0.1544931         	6.8889450502e+06
0.15708391        	6.8939441996e+06
0.15952686        	6.8966799712e+06
0.1618607         	6.8972158612e+06
0.16411665        	6.8965181847e+06
0.16632945        	6.8961309999e+06
0.16855027        	6.8973933474e+06
0.17086281        	6.9011795551e+06
0.17341389        	6.9083775288e+06
0.17645944        	6.9210560712e+06
0.1801927         	6.9409624484e+06
0.18382101        	6.9597201784e+06
0.18677654        	6.9705496103e+06
0.189239          	6.9758331328e+06
0.19148672        	6.9779315786e+06
0.1936917         	6.9777478296e+06
0.19597348        	6.9755619646e+06
0.19840343        	6.9718279329e+06
0.20108136        	6.9674847472e+06
0.20385427        	6.9649636283e+06
0.20661313        	6.9652253081e+06
0.20930131        	6.9682633984e+06
0.21196451        	6.9733004080e+06
0.21467624        	6.9776889642e+06
0.21745412        	6.9781797820e+06
0.22023956        	6.9725582460e+06
0.22289945        	6.9623107158e+06
0.2253411         	6.9509003382e+06
0.2276086         	6.9402638686e+06
0.22979719        	6.9307922711e+06
0.23199947        	6.9224397974e+06
0.23426483        	6.9152487891e+06
0.23664147        	6.9095347233e+06
