# Region type :   sampledSurface planeZ4p
# Faces           : 966
# Area            : 8.2959467463e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0021681777      	6.9000000564e+06
0.0098950663      	6.9009150876e+06
0.017629395       	6.9053374799e+06
0.025363724       	6.9354722561e+06
0.033098053       	6.9549974097e+06
0.040832383       	6.9557627512e+06
0.048566712       	6.9545113615e+06
0.056301041       	6.9409115986e+06
0.06403537        	6.9131958729e+06
0.071769699       	6.9042254668e+06
0.079428334       	6.9031980975e+06
0.086939267       	6.9020373972e+06
0.094622051       	6.8992010210e+06
0.10232558        	6.8894373718e+06
0.11007752        	6.8695848099e+06
0.11782946        	6.8531745554e+06
0.1255814         	6.8487706957e+06
0.13333333        	6.8516504205e+06
0.14108527        	6.8646776328e+06
0.14883721        	6.8827130771e+06
0.15658915        	6.8920143445e+06
0.16434109        	6.8944209184e+06
0.17209302        	6.8970735731e+06
0.17984496        	6.9032532468e+06
0.1875969         	6.9159235285e+06
0.19534884        	6.9325215534e+06
0.20310078        	6.9445107821e+06
0.21085271        	6.9482725731e+06
0.21860465        	6.9436864847e+06
0.22635659        	6.9311352101e+06
0.23410853        	6.9174893875e+06
0.24186047        	6.9096755075e+06
0.2496124         	6.9059340086e+06
0.25736434        	6.9017053024e+06
0.26511628        	6.8942617154e+06
0.27286822        	6.8824675422e+06
0.28062016        	6.8687555085e+06
0.28837209        	6.8584576351e+06
0.29612403        	6.8562219315e+06
0.30387597        	6.8624791771e+06
0.31162791        	6.8728164277e+06
0.31937984        	6.8829490354e+06
0.32713178        	6.8903229352e+06
0.33488372        	6.8946724927e+06
0.34263566        	6.8998961885e+06
0.3503876         	6.9093199839e+06
0.35788617        	6.9215848328e+06
0.3644252         	6.9321578494e+06
0.37122571        	6.9401104956e+06
0.37876428        	6.9424374155e+06
0.3859473         	6.9380897271e+06
0.39232858        	6.9308714913e+06
0.39803297        	6.9240797008e+06
0.4033449         	6.9187186553e+06
0.40833211        	6.9147560647e+06
0.4132434         	6.9114867643e+06
0.41827504        	6.9082043782e+06
0.42361946        	6.9036760530e+06
0.42937066        	6.8967917629e+06
0.43541406        	6.8873773729e+06
0.44171094        	6.8767173433e+06
0.4482519         	6.8673094296e+06
0.45496725        	6.8615847956e+06
0.46185956        	6.8609194489e+06
0.46915788        	6.8650279078e+06
0.47686841        	6.8718388580e+06
0.48457894        	6.8781875699e+06
0.49228947        	6.8834017209e+06
0.5               	6.8892496872e+06
0.50775194        	6.8978007027e+06
0.51550388        	6.9094700644e+06
0.52325581        	6.9221703189e+06
0.53100775        	6.9320984998e+06
0.53875969        	6.9365819396e+06
0.5463935         	6.9356213215e+06
0.55319326        	6.9318997927e+06
0.55912692        	6.9279911776e+06
0.56459034        	6.9246909315e+06
0.56977847        	6.9219590524e+06
0.57499873        	6.9191191697e+06
0.58045502        	6.9153471046e+06
0.58623229        	6.9096530564e+06
0.59221825        	6.9013430203e+06
0.59820421        	6.8912638530e+06
0.6041817         	6.8815185538e+06
0.61015464        	6.8736958300e+06
0.6161839         	6.8687548327e+06
0.62241622        	6.8671208622e+06
0.62914865        	6.8683949756e+06
0.63670455        	6.8711235308e+06
0.6444235         	6.8737121794e+06
0.65214246        	6.8767174840e+06
0.65986142        	6.8818413909e+06
0.66758038        	6.8904802563e+06
0.67529934        	6.9023969298e+06
0.68301829        	6.9149518628e+06
0.69073725        	6.9246156259e+06
0.69845621        	6.9296601670e+06
0.70618748        	6.9304430119e+06
0.7131026         	6.9289242028e+06
0.71909174        	6.9272264598e+06
0.72465797        	6.9257286608e+06
0.73000751        	6.9241859414e+06
0.73545698        	6.9219353408e+06
0.74120197        	6.9180371831e+06
0.74725353        	6.9116738793e+06
0.75339586        	6.9030958144e+06
0.75940837        	6.8936311965e+06
0.76528441        	6.8849013150e+06
0.77107872        	6.8781760869e+06
0.77692929        	6.8740145385e+06
0.78299757        	6.8723994176e+06
0.78958741        	6.8727882630e+06
0.79698335        	6.8740212790e+06
0.80465116        	6.8750851296e+06
0.8124031         	6.8769316948e+06
0.82015504        	6.8815414861e+06
0.82790698        	6.8900660793e+06
0.83565891        	6.9015997493e+06
0.84341085        	6.9131836895e+06
0.85116279        	6.9216381348e+06
0.85891473        	6.9257554013e+06
0.86662454        	6.9264432639e+06
0.87339086        	6.9257030688e+06
0.8793186         	6.9249174649e+06
0.88491227        	6.9240108357e+06
0.89039871        	6.9225622267e+06
0.89602232        	6.9199449162e+06
0.90182104        	6.9154889196e+06
0.90801138        	6.9084388450e+06
0.91410285        	6.9000847285e+06
0.92004713        	6.8917575843e+06
0.92589954        	6.8846744036e+06
0.93174881        	6.8794630360e+06
0.9377372         	6.8763811640e+06
0.94407399        	6.8752318890e+06
0.95107909        	6.8753711079e+06
0.95876783        	6.8759564230e+06
0.96647478        	6.8771330157e+06
0.97418173        	6.8802744699e+06
0.98188867        	6.8865719396e+06
0.98959562        	6.8958770709e+06
0.99730257        	6.9064061531e+06
1.0050388         	6.9154774272e+06
1.0127907         	6.9213134544e+06
1.0205426         	6.9239029172e+06
1.0278027         	6.9243786625e+06
1.0341166         	6.9241378789e+06
1.0399833         	6.9235225743e+06
1.0456489         	6.9222613734e+06
1.0513418         	6.9199459245e+06
1.0572585         	6.9160507364e+06
1.0633903         	6.9102419297e+06
1.0694907         	6.9030721341e+06
1.0754545         	6.8956471229e+06
1.0813691         	6.8888966097e+06
1.0872837         	6.8834624863e+06
1.0932841         	6.8796549723e+06
1.0993895         	6.8774848944e+06
1.1061152         	6.8765550035e+06
1.1136317         	6.8765087265e+06
1.1213778         	6.8773834655e+06
1.1291238         	6.8799153600e+06
1.1368698         	6.8849677786e+06
1.1446159         	6.8926079287e+06
1.1523619         	6.9017810586e+06
1.1601079         	6.9105228921e+06
1.167854          	6.9171374753e+06
1.1756            	6.9210830403e+06
1.1831143         	6.9227725061e+06
1.1897793         	6.9231295193e+06
1.1959776         	6.9227467920e+06
