# Region type :   patch main_inlet
# Faces           : 356
# Area            : 8.2961564767e-02
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.002085471       	-3.3860897358e+01
0.0076245856      	-3.3866245791e+01
0.01262959        	-3.3865113038e+01
0.014560667       	-3.3865581274e+01
0.015896988       	-3.3866823091e+01
0.017190176       	-3.3869216309e+01
0.018586668       	-3.3872594763e+01
0.020048015       	-3.3878293098e+01
0.021510099       	-3.3892153497e+01
0.022961449       	-3.3925684862e+01
0.024412552       	-3.3996021310e+01
0.025860702       	-3.4115078729e+01
0.027289161       	-3.4258289650e+01
0.028677159       	-3.4357624174e+01
0.030020114       	-3.4374698960e+01
0.031382326       	-3.4344211889e+01
0.032951293       	-3.4318122406e+01
0.035060779       	-3.4316225886e+01
0.037551473       	-3.4320878123e+01
0.040231784       	-3.4337324543e+01
0.043594648       	-3.4351586841e+01
0.047895294       	-3.4198874220e+01
0.051324596       	-3.4132667856e+01
0.054306236       	-3.4111494732e+01
0.056724458       	-3.4070015540e+01
0.058807855       	-3.4042600980e+01
0.060745517       	-3.4042749716e+01
0.062584734       	-3.4064485133e+01
0.064202367       	-3.4086069665e+01
0.065650664       	-3.4100875750e+01
0.067074954       	-3.4118037005e+01
0.068567661       	-3.4145495831e+01
0.070160739       	-3.4175874816e+01
0.071854259       	-3.4191005363e+01
0.073740038       	-3.4176507007e+01
0.075956547       	-3.4122825576e+01
0.07832354        	-3.4012189086e+01
0.080739334       	-3.3815484643e+01
0.083086981       	-3.3619077492e+01
0.085206268       	-3.3499207354e+01
0.087177271       	-3.3441442193e+01
0.089089333       	-3.3415859047e+01
0.09092404        	-3.3403076843e+01
0.092623628       	-3.3392416613e+01
0.094220205       	-3.3383825982e+01
0.095749097       	-3.3384716415e+01
0.097240642       	-3.3398901696e+01
0.098732187       	-3.3421524253e+01
0.10023975        	-3.3442849154e+01
0.10193466        	-3.3453258668e+01
0.10386694        	-3.3437893562e+01
0.10610192        	-3.3384916507e+01
0.10854219        	-3.3316143064e+01
0.11090951        	-3.3276304942e+01
0.11308215        	-3.3257283187e+01
0.11511028        	-3.3230371505e+01
0.1170561         	-3.3190394986e+01
0.11896082        	-3.3149490438e+01
0.12084816        	-3.3120751943e+01
0.12273049        	-3.3112510144e+01
0.12462049        	-3.3127126196e+01
0.12653666        	-3.3157673574e+01
0.12848504        	-3.3187559269e+01
0.13043907        	-3.3202809910e+01
0.13235826        	-3.3207124042e+01
0.13422155        	-3.3214105737e+01
0.13603917        	-3.3229475830e+01
0.13784785        	-3.3248553316e+01
0.13970709        	-3.3264053161e+01
0.14169243        	-3.3270792775e+01
0.14387785        	-3.3265926775e+01
0.14630325        	-3.3249777044e+01
0.14887688        	-3.3230288302e+01
0.15135032        	-3.3225910552e+01
0.15356141        	-3.3250863178e+01
0.15552474        	-3.3305877591e+01
0.15731872        	-3.3384324529e+01
0.15902031        	-3.3476825828e+01
0.16069122        	-3.3573003565e+01
0.16237805        	-3.3663900805e+01
0.16411673        	-3.3745132521e+01
0.16594076        	-3.3817187919e+01
0.16788814        	-3.3880555404e+01
0.17000506        	-3.3928975415e+01
0.17235031        	-3.3948406181e+01
0.17494405        	-3.3930569688e+01
0.17764359        	-3.3896030966e+01
0.18019509        	-3.3880070655e+01
0.1824913         	-3.3890473589e+01
0.18457398        	-3.3914861388e+01
0.18651132        	-3.3943119024e+01
0.18836096        	-3.3972969509e+01
0.19016326        	-3.4006495571e+01
0.19195176        	-3.4045846872e+01
0.19376879        	-3.4090684085e+01
0.1956421         	-3.4136030173e+01
0.19760743        	-3.4173822291e+01
0.19960124        	-3.4196335682e+01
0.20171077        	-3.4204135705e+01
0.20386124        	-3.4202079865e+01
0.20598167        	-3.4196424164e+01
0.20806534        	-3.4188623831e+01
0.21013912        	-3.4175941580e+01
0.21223308        	-3.4155280030e+01
0.21435716        	-3.4128000400e+01
0.21648845        	-3.4100901593e+01
0.21857575        	-3.4080986326e+01
0.22057525        	-3.4071430484e+01
0.22247267        	-3.4070506494e+01
0.22428202        	-3.4073834197e+01
0.22603103        	-3.4076557294e+01
0.22775482        	-3.4074079876e+01
0.22948987        	-3.4062163253e+01
0.23127547        	-3.4037100897e+01
0.23315401        	-3.3995771118e+01
0.23516879        	-3.3935212656e+01
0.23734639        	-3.3853469883e+01
0.23964114        	-3.3756372302e+01
0.24197741        	-3.3657229750e+01
0.24425255        	-3.3570174016e+01
0.2463491         	-3.3505485367e+01
0.24825122        	-3.3464764169e+01
0.25000674        	-3.3444374453e+01
0.25166902        	-3.3438864419e+01
0.25328439        	-3.3442399745e+01
0.25489257        	-3.3449735622e+01
0.25652707        	-3.3456756068e+01
0.25821481        	-3.3460584995e+01
0.25997863        	-3.3459266462e+01
0.2618328         	-3.3450872186e+01
0.26378255        	-3.3432653623e+01
0.26582052        	-3.3401303875e+01
0.26792351        	-3.3356342565e+01
0.27005418        	-3.3303602819e+01
